,company_name,average_salary,total_sale
0,국민건강보험공단,"6,441만원",75.4조원
1,근로복지공단,"5,817만원",9406.2억원
2,새마을금고,회사없음1,회사없음1
3,농협은행,"6,182만원",13.1조원
4,현대카드,"8,737만원",2.3조원
5,중소기업은행,"10,065만원",14.8조원
6,국민연금공단,"6,345만원",29.9조원
7,현대캐피탈,"10,926만원",3조원
8,국민은행,"11,355만원",21.2조원
9,삼성생명보험,"11,975만원",27.1조원
10,신한은행,"11,276만원",21.9조원
11,우리은행,"10,406만원",20.4조원
12,신용보증기금,"9,488만원",1.1조원
13,한화생명보험,"9,292만원",16.1조원
14,한국스탠다드차타드은행,"9,961만원",2.7조원
15,하나은행,"11,856만원",29.2조원
16,삼성화재해상보험,"13,656만원",22.6조원
17,DB손해보험,회사없음,회사없음
18,웰컴저축은행,"5,645만원",3957.1억원
19,메리츠화재해상보험,"8,562만원",10.1조원
20,교보생명보험,"10,001만원",13조원
21,롯데카드,"8,325만원",1.5조원
22,굿리치,회사없음,회사없음
23,한국투자증권,"16,010만원",9.9조원
24,한국산업은행,"10,264만원",24.7조원
25,삼성카드,"14,080만원",3.2조원
26,한국자산관리공사,"8,352만원",6387.3억원
27,비씨카드,"10,852만원",3.5조원
28,홍콩상하이은행서울지점,회사없음,회사없음
29,키움증권,"13,033만원",2.6조원
30,서울보증보험,"6,082만원",2.6조원
31,삼성증권,"13,159만원",6.5조원
32,농업협동조합중앙회,"6,082만원",5.7조원
33,삼성카드고객서비스,"5,553만원",1079.8억원
34,미래에셋대우,"14,057만원",12.8조원
35,한국주택금융공사,"8,845만원",3.8조원
36,삼성생명서비스손해사정,"5,887만원",2090.2억원
37,케이비라이프생명보험,회사없음,회사없음
38,한국은행,회사없음,회사없음
39,현대해상화재보험,"11,280만원",16.7조원
40,케이비손해사정,"6,082만원",1261.9억원
41,오케이저축은행,"5,817만원",8892.8억원
42,신한투자증권,회사없음,회사없음
43,대신증권,"12,177만원",2.3조원
44,신한카드,"12,741만원",3.7조원
45,한국장학재단,"7,791만원",4.3조원
46,라이나생명보험,"6,032만원",2.8조원
47,오렌지라이프생명보험,"10,172만원",4.7조원
48,한국수출입은행,"9,680만원",7.3조원
49,우체국금융개발원,"5,431만원",507.1억원
50,모아저축은행,"5,163만원",1450.2억원
51,메트라이프생명보험,"6,032만원",2.3조원
