,company_name,average_salary,total_sale
0,한국토지주택공사,"8,179만원",27.1조원
1,한전KPS,"7,846만원",1.2조원
2,현대엔지니어링,회사없음,회사없음
3,현대건설,회사없음,회사없음
4,대우건설,"2,508만원",4.7억원
5,지에스건설,"4,558만원",104.8억원
6,에스케이에코플랜트,"6,082만원",5.3조원
7,주택관리공단,"4,262만원",2566.7억원
8,디엘,회사없음,회사없음
9,포스코이앤씨,회사없음,회사없음
10,한국도로공사,"7,662만원",10.5조원
11,롯데건설,"4,050만원",5.7조원
12,국보디자인,"7,784만원",2954.7억원
13,한국가스기술공사,"6,936만원",3015.4억원
14,보미건설,"5,439만원",2120억원
15,서희건설,회사없음,회사없음
16,수산인더스트리,"6,184만원",2022.2억원
17,도화엔지니어링,회사없음,회사없음
18,한양이엔지,"5,237만원",7369.6억원
19,휴먼터치,"3,399만원",244.3억원
20,금화피에스시,"6,182만원",2059.8억원
21,부영주택,"5,552만원",1.7조원
22,호반건설,"1,923만원",9.3억원
23,코오롱글로벌,"6,495만원",4.2조원
24,한화건설,"7,903만원",2.6조원
25,케이씨씨건설,"5,759만원",1.4조원
26,대방건설,"1,476만원",1.9억원
27,에이치제이중공업,"6,082만원",회사없음1
28,한신공영,"6,950만원",1.3조원
29,케이알산업,"4,065만원",12.9억원
30,계룡건설산업,"6,868만원",1.9조원
31,희림종합건축사사무소,"7,198만원",2118.3억원
32,금호건설,회사없음,회사없음
33,유신,"6,285만원",2622.4억원
34,에스지씨이테크건설,"6,082만원",1.3조원
35,아이에스동서,"7,256만원",1.3조원
36,금강주택,회사없음,회사없음
37,세보엠이씨,"7,112만원",4306.8억원
38,코레일테크,"4,696만원",2440.9억원
39,우미건설,회사없음,회사없음
40,반도건설,회사없음,회사없음
41,한국종합기술,"2,393만원",6억원
42,한국산업단지공단,"7,509만원",4831.6억원
43,서한,"6233만원",6088.2억원
44,다원앤컴퍼니,"5,124만원",2425.6억원
45,해안종합건축사사무소,"5,931만원",1896.6억원
46,태영건설,회사없음,회사없음
47,한솔이엠이,"2,864만원",1747.7억원
48,동해종합기술공사,"5,671만원",904.5억원
49,씨비알이코리아,회사없음,회사없음
50,교보리얼코,"4,721만원",1186.2억원
51,두산건설,"7,005만원",1.4조원
52,쌍용건설,"6,082만원",1.4조원
53,삼호개발,"5,403만원",3608.3억원
54,벽산엔지니어링,"5,816만원",12.3억원
55,동부건설,"7,852만원",1조원
56,한양,"3,033만원",8.8억원
57,브니엘네이처,"4,019만원",452.6억원
58,강산건설,회사없음,회사없음
59,선진엔지니어링종합건축사사무소,"5,842만원",726.1억원
60,수성엔지니어링,"4,654만원",14억원
61,현대산업개발,회사없음,회사없음
62,우리피앤에스,회사없음,회사없음
63,자이에스앤디,회사없음1,회사없음1
64,동일기술공사,"5,603만원",837.5억원
65,존스랑라살,"4,924만원",485.5억원
66,케이지엔지니어링종합건축사사무소,"5,973만원",1139.8억원
67,휴머스원,회사없음,회사없음
68,지에스네오텍,"6,032만원",4544.2억원
69,존슨콘트롤즈인터내셔널코리아,"5,476만원",1553.1억원
70,제일건설,"6,032만원",1.3조원
71,서영엔지니어링,회사없음,회사없음
72,정림건축종합건축사사무소,"5,558만원",1266억원
73,롯데자산개발,"5,852만원",1665.1억원
74,디엘건설,"2,448만원",6.5억원
75,듀어코리아,"6,032만원",920.3억원
76,금성백조주택,"6,032만원",4775억원
77,대혜건축,"4,835만원",1466.8억원
78,제일엔지니어링종합건축사사무소,"5,666만원",854.1억원
79,포스코플랜텍,"6,697만원",3393.6억원
80,한방유비스,"4,042만원",191.2억원
81,은민에스엔디,"5,061만원",1647.1억원
82,경호엔지니어링종합건축사사무소,"5,842만원",764.7억원
83,대우조선해양건설,"6,032만원",3402억원
84,한라,회사없음,회사없음
85,계선,"4,512만원",879.6억원
86,두양건축,"4,476만원",1441.5억원
87,두원이에프씨,"4,335만원",1432.1억원
88,행림종합건축사사무소,"4,706만원",763.3억원
89,동아지질,회사없음,회사없음
90,한미글로벌건축사사무소,"8,151만원",1392.3억원
91,신안,회사없음,회사없음
92,건일엠이씨,"4,410만원",156.5억원
93,간삼건축종합건축사사무소,"5,605만원",1162.4억원
94,이웨이,"3,489만원",399.8억원
95,평화엔지니어링,회사없음,회사없음
96,서해종합건설,"4,843만원",90.4억원
97,경기주택도시공사,회사없음,회사없음
98,신세계건설,회사없음,회사없음
99,대우산업개발,"6,907만원",5236.9억원
100,삼원에스앤디,"4,680만원",1361.7억원
101,타워피엠씨,"3,605만원",1103.7억원
102,제이에스비도시환경,"2,886만원",51.5억원
103,동일인테리어,"4,529만원",1175.1억원
104,신보,"4,450만원",256.2억원
105,동광제약,"5,563만원",1557억원
106,서울데이타통신,"3,446만원",100.2억원
107,포스코엔지니어링,"4,809만원",9695.6억원
108,세아네트웍스,"5,415만원",606.4억원
109,엠에이피한터인종합건축사사무소,"4,460만원",403.3억원
110,성창이엔씨,"5,269만원",1889억원
