,company_name,average_salary,total_sale
0,쿠팡,"5,035만원",20.4조원
1,씨제이올리브영,"1,503만원",2.1조원
2,에프알엘코리아,"3,139만원",5824.1억원
3,이마트,"4,573만원",15.1조원
4,한샘,회사없음,회사없음
5,한국철도공사,"6,720만원",5.1조원
6,홈플러스,"3,773만원",7조원
7,지에스리테일,회사없음1,회사없음1
8,비지에프리테일,"5,162만원",6.8조원
9,씨제이대한통운,"6,926만원",7.7조원
10,현대백화점,"6,564만원",1.5조원
11,코리아세븐,"3,628만원",4.3조원
12,씨유 ,"5,162만원",6.8조원
13,교원,"2,376만원",4493.3억원
14,이랜드리테일,"4,789만원",1.7조원
15,대한항공,"8,740만원",8.8조원
16,자라리테일코리아,"2,731만원",3055.7억원
17,인터파크트리플,회사없음,회사없음
18,롯데쇼핑 롯데마트사업본부,회사없음,회사없음
19,삼성에버랜드,회사없음,회사없음
20,아성다이소,"3,353만원",2.6조원
21,롯데하이마트,"5,514만원",3.9조원
22,하이프라자,"6,082만원",3조원
23,에어코리아,"4,281만원",35.8억원
24,이디야,"4,098만원",2433.5억원
25,서브원,"6,000만원",57.1억원
26,씨제이프레시웨이,"3,848만원",2.8조원
27,삼성전자판매,"6,082만원",3.8조원
28,현대그린푸드,"4,038만원",1.7조원
29,데상트코리아,"5,438만원",5436.7억원
30,에이치앤엠헤네스앤모리츠,"2,461만원",2994.7억원
31,엘오케이,"4,955만원",3577.9억원
32,이마트에브리데이,"3,523만원",1.3조원
33,아시아나항공,"6,038만원",5.9조원
34,부루벨코리아,"4,160만원",1465.4억원
35,한국미니스톱,"3,977만원",1.2조원
36,엘엑스판토스,"6,082만원",4.5조원
37,케이티엠앤에스,"4,558만원",7101.7억원
38,신세계인터내셔날,"7,338만원",1.3조원
39,교보문고,"4,368만원",7909억원
40,컬리,"4,085만원",1.6조원
41,이케아코리아,"3,421만원",6872.4억원
42,굿네이버스인터내셔날,"3,980만원",1812.7억원
43,코스트코코리아,"5,371만원",5.4조원
44,우리홈쇼핑,"6,032만원",1.1조원
45,제너시스비비큐,"3,102만원",3624억원
46,이엘씨에이한국,"4,351만원",3834억원
47,현대홈쇼핑,"6,241만원",1.1조원
48,한진,"2,827만원",16.4억원
49,현대글로비스,"9,244만원",17.6조원
50,씨제이이엔엠 오쇼핑부문,"8,416만원",11.4억
51,스위스포트코리아,"3,770만원",502.9억원
52,신세계,회사없음,회사없음
53,지에스홈쇼핑,"6,670만원",1.2조원
54,지씨바이오,"3,935만원",262.8억원
55,샤프에비에이션케이,"3,855만원",742.3억원
56,한국필립모리스,"6,082만원",5653.2억원
57,디에이치엘코리아,"5,587만원",7294.5억원
58,동원홈푸드,"1,775만원",54만원
59,경동물류,"4,532만원",762.2억원
60,러쉬코리아,"4,263만원",1018.8억원
61,무인양품,"2,209만원",1146.6억원
62,풀무원식품,"5,859만원",1.1조원
63,에이비씨마트코리아,"3,188만원",4861.3억원
64,탐앤탐스,"2,981만원",392.2억원
65,나이키코리아,"3,951만원",1.5조원
66,지멘스,"6,032만원",3583.2억원
67,스타럭스,"3,234만원",1497억원
68,제주항공,"4,344만원",2707.8억원
69,피에스앤마케팅,"4,672만원",1.4조원
70,한국쓰리엠,"6,032만원",1.8조원
71,그린스토어,"3,586만원",490.7억원
72,한국암웨이,"6,032만원",7530.6억원
73,글로벌휴먼스,회사없음1,회사없음1
74,에스에스지닷컴,"3,453만원",1.4조원
75,제로투세븐,"6,522만원",1115.5억원
76,스타비젼,회사없음,회사없음
77,엘브이엠에치코스메틱스,"4,425만원",2158.1억원
78,에이치엠엠,"12,358만원",13.7조원
79,텐바이텐,"3,434만원",352억원
80,부릉,"5,288만원",회사없음1
81,쉥커코리아,"5,832만원",5193억원
82,엔에스쇼핑,"6,360만원",5479.9억원
83,대성산업,"3,139만원",58.3억원
84,포스코인터내셔널,"11,581만원",30.5조원
85,컴퓨존,"4,217만원",1.1조원
86,엠티콜렉션,"3,647만원",657.4억원
87,아디다스코리아,"3,892만원",1조원
88,이스타항공,회사없음,회사없음
89,에이랜드,"1,962만원",159.2억원
90,한국에스엠씨,"6,032만원",4967.6억원
91,한국화이자제약,"6,032만원",1.7조원
92,미스터피자 ,회사없음,회사없음
93,아가방앤컴퍼니,"3,731만원",1415.3억원
94,부산교통공사,"7,395만원",2298.9억원
95,유한책임회사디캐이,회사없음,회사없음
96,비티지,"3,771만원",252.8억원
97,삼성물산 상사부문,"6,032만원",21.1조원
98,교보핫트랙스,"2,514만원",948.3억원
99,트라이씨클,"4,860만원",919.4억원
100,케이제이씨디스플레이코퍼레이션,"4,845만원",552.9억원
101,샤넬코리아,"5,184만원",1.2조원
102,이니스프리,"6,032만원",3071.7억원
103,카스,"4,316만원",54.8억원
104,아이마켓코리아,"6,350만원",2.4조원
105,루이비통코리아,"4,376만원",1.5조원
106,비즈마켓,"3,847만원",317.5억원
107,필립스코리아,"6,032만원",3366.8억원
108,한성자동차,"5,815만원",3.3조원
