,company_name,average_salary,total_sale
0,해커스 교육그룹,"3,350만원",24.2억원
1,동화세상에듀코,"4,682만원",1291억원
2,에스티유니타스,회사없음,회사없음
3,에듀윌,"3,707만원",1556.8억원
4,메가스터디교육,"3,011만원",6225.4억원
5,대교,"1,928만원",65.7억원
6,에듀플렉스 ,회사없음,회사없음
7,이투스교육,"1,284만원",1646.9억원
8,아발론교육,"2,607만원",299.2억원
9,한국산업인력공단,"5,969만원",1.1조원
10,한솔교육,회사없음,회사없음
11,한국과학기술원,"11,264만원",8843.5억원
12,파고다아카데미,"3,697만원",212.9억원
13,디와이비최선어학원,"4,493만원",67억원
14,에스제이더블유인터내셔널,"3,916만원",216.4억원
15,멀티캠퍼스,"3,854만원",2958.2억원
16,메가엠디,"3,422만원",718.4억원
17,해커스어학원,"2,984만원",244.2억원
18,메가스터디,"4,861만원",502.7억원
19,조선대학교,"2,519만원",2461.8억원
20,건국대학교,"3,039만원",9528.2억원
21,케이지에듀원,"4,382만원",623.4억원
22,데이원컴퍼니,"3,997만원",849.7억원
23,인지어스,"2,956만원",275.2억원
24,연세대학교,"1,388만원",4895.8억원
25,캐럿글로벌,"4,130만원",320.9억원
26,월스트리트인스티튜트코리아,"3,388만원",85억원
27,중앙대학교,"1,776만원",6280.9억원
28,크레버스,회사없음,회사없음
29,와이비엠에듀,"2,941만원",741.5억원
30,한국표준협회,"6,032만원",1233.7억원
31,와이비엠시사닷컴,"4,336만원",1164.1억원
32,좋은책신사고,"5,401만원",683.5억원
33,아이지엠세계경영연구원,"5,152만원",53.3억원
34,디쉐어,"3,336만원",556.5억원
35,씨엠에스에듀,회사없음,회사없음
36,경희사이버대학교,회사없음,회사없음
37,챔프스터디,"3,280만원",1314.1억원
38,정상제이엘에스,"4,247만원",1011.3억원
39,계명대학교,"2,151만원",6735억원
40,한솔요리학원,"3,075만원",200억원
41,한남대학교,"1,916만원",1329.7억원
42,파고다에스씨에스,"3,393만원",228.2억원
43,인하대학교,회사없음,회사없음
44,한국방송통신대학교,회사없음1,회사없음1
45,한국문화예술교육진흥원,"4,213만원",1179.8억원
46,부경대학교,회사없음1,회사없음1
47,와이제이에듀케이션,회사없음,회사없음
48,숭실대학교,"1,991만원",1475.2억원
49,광주과학기술원,"10,827만원",2047.4억원
50,디지털대성,"3,518만원",1763.5억원
51,SBS아카데미게임학원,회사없음,회사없음
52,이디엠에듀케이션,회사없음,회사없음
53,울산과학기술원,"11,725만원",2845.6억원
54,포항공과대학교,"4,765만원",2287.7억원
55,한국교육과정평가원,"8,225만원",1543.7억원
56,티티씨에듀,"3,537만원",77.3억원
57,서울시립대학교,회사없음1,회사없음1
58,동서대학교,회사없음,회사없음
59,충남대학교,회사없음1,회사없음1
60,지아이티아카데미,"3,844만원",442억원
61,서강대학교,회사없음,회사없음
62,코리아폴리스쿨,"4,905만원",305.4억원
63,아이비김영,"2,343만원",419.2억원
64,씨앤씨미술교육지원센터,회사없음,회사없음
65,아토스터디,"3,468만원",96.6억원
66,계명대학교 산학협력단,"3,250만원",341.9억원
67,한양사이버대학교,회사없음,회사없음
68,전북대학교,회사없음1,회사없음1
69,하이컨시,"4,137만원",1838.9억원
70,국가평생교육진흥원,"7,295만원",906.1억원
71,이에프에듀케이션퍼스트코리아,회사없음,회사없음
72,이코랜스,"3,070만원",30억원
73,잉글리쉬앤,"3,739만원",56.9억원
74,한국기술교육대학교,"7,641만원",1652.3억원
75,더조은아카데미,"3,015만원",63.5억원
76,타임컨텐츠,회사없음,회사없음
77,인키움,"3,990만원",73.1억원
78,지식과미래,"4,843만원",126.6억원
79,지일이삼공교육,회사없음1,회사없음1
80,티엠디교육그룹,"2,956만원",135.4억원
81,데이원컴퍼니 레모네이드,"3,997만원",849.7억원
82,이지수능교육,회사없음1,회사없음1
83,현대경제연구원,"5,751만원",201억원
84,대교에듀캠프,"4,221만원",163.8억원
85,HIENGLISH KOREA,회사없음,회사없음
86,민병철교육그룹,"3,592만원",233.3억원
87,다락원,"4,216만원",183.8억원
88,인천영어마을,회사없음,회사없음
89,에듀라인,"2,856만원",28.2억원
90,링구아교육 링구아어학원,"2,590만원",76.2억원
