,company_name,average_salary,total_sale
0,삼성카드(인사팀),"14,080만원",3.2조원
1,SBI저축은행,회사없음,회사없음
2,KB국민카드,"12,659만원",3.1조원
3,KB증권,회사없음,회사없음
4,수협은행,"6,082만원",1.7조원
5,피플라이프,회사없음1,회사없음1
6,KB생명보험,회사없음,회사없음
7,DB생명보험,"7,626만원",2.3조원
8,KEB하나은행,회사없음,회사없음
9,한양건설,"3,033만원",8.8억원
10,자이에스엔디,회사없음,회사없음
11,GS리테일,회사없음,회사없음
12,비지에프리테일,"5,162만원",6.8조원
13,롯데쇼핑롯데마트사업본부,회사없음,회사없음
14,씨제이오쇼핑,"8,416만원",11.4억원
15,스위스포트코리아(,회사없음1,회사없음1
16,글로벌휴먼스,회사없음1,회사없음1
17,디캐이,회사없음,회사없음
18,삼성물산-상사,"6,032만원",21.1조원
19,SG세계물산,"5,519만원",3096억원
20,리앤풍(한국),"5,830만원",118.7억원
21,사노피-아벤티스코리아,"6,032만원",4383.3억원
22,한국존슨앤드존슨,"5,677만원",1168.6억원
23,엠피대산,"5,589만원",840.4억원
24,피에르파브르더모코스메틱코리아,"5,575만원",329.2억원
25,에스와이에스리테일,"5,287만원",8783.5억원
26,씨앰에이씨지엠코리아,회사없음,회사없음
27,넷케이티아이,"4,328만원",1364.5억원
28,캐논메디칼시스템즈코리아,"5,932만원",461.2억원
29,티엔티익스프레스코리아,회사없음,회사없음
30,금양인터내셔널,회사없음,회사없음
31,S.F.ExpressCo.Ltd.,회사없음,회사없음
32,인터파크비즈마켓,"3,847만원",317.5억원
33,이스트엔드(EASTENDCO.LTD.),"4,195만원",81.3억원
34,GS글로벌,"8,210만원",3.5조원
35,해커스,"3,350만원",24.2억원
36,에듀플렉스에듀케이션,회사없음,회사없음
37,와이비엠,"4,336만원",1164.1억원
38,포항공과대학교(학),"4,765만원",2287.7억원
39,서울시립대학교(총무과),회사없음,회사없음
40,충남대학교회계직,회사없음,회사없음
41,계명대학교산학협력단,"3,250만원",341.9억원
42,지일이삼공학원,회사없음,회사없음
43,데이원컴퍼니,"3,997만원",849.7억원
44,이지수능교육원,회사없음,회사없음
45,링구아교육,"2,590만원",76.2억원
46,한솔교육사,회사없음,회사없음
47,효성ITX,회사없음,회사없음
48,에스케이텔레콤,"14,443만원",12.1조원
49,위대한상상,회사없음,회사없음
50,잡코리아,회사없음,회사없음
51,SK엠앤서비스,회사없음,회사없음
52,여기어때컴퍼니,"5,581만원",2049.1억원
53,SK커뮤니케이션즈,회사없음,회사없음
54,직방(ZIGBANGCo.Ltd),"6,032만원",558.8억원
55,SK브로드밴드,"11,204만원",4.1조원
56,GC케어,회사없음,회사없음
57,카카오,"12,717만원",2.1조원
58,디비아이엔씨(DBInc.),"7,727만원",2784.2억원
59,MDS테크,회사없음,회사없음
60,아시아나IDT,"6,398만원",1747.2억원
61,데브시스터즈(DevsistersCorp.),"5,869만원",3701.9억원
62,레진엔터테인먼트（LEZHINEnt）,회사없음,회사없음
63,KG제로인,회사없음,회사없음
64,카카오스타일(KakaoStyleCorp.),"5,519만원",652.2억원
65,카카오브이엑스(KAKAOVX),"4,981만원",1137.6억원
66,노아에스앤씨(NOAASNC),"4,523만원",46.2억원
67,아마존웹서비시즈코리아,회사없음,회사없음
68,매드업（MadupInc）,"4,830만원",193억원
69,LG히다찌,회사없음,회사없음
70,하나금융티아이,"6,082만원",2553.6억원
71,트윔(TWIMCorp),"5,012만원",216억원
72,앤서스랩코리아,회사없음,회사없음
73,브레인커머스,"4,985만원",92.8억원
74,하이브로（highbrow）,"4,387만원",78.7억원
75,투믹스(Toomics),"3,784만원",247.2억원
76,씨제이제일제당,회사없음1,회사없음1
77,한국항공우주산업본점,회사없음,회사없음
78,대덕전자,"14,562만원",1.1조원
79,DB하이텍,"9,556만원",8074.2억원
80,KOTITI시험연구원,회사없음,회사없음
81,에스피씨삼립,"4,906만원",1.4조원
82,ABB코리아,"6,032만원",3157억원
83,SK이노베이션,"14,642만원",4조원
84,창신INC,"5,955만원",1.5조원
85,STX중공업,"5,093만원",1334.9억원
86,SFA반도체,"5,453만원",6043.2억원
87,케이지모빌리티,회사없음,회사없음
88,에스엘바이오텍(Sl.biotechCo..Ltd),"3,245만원",1197.6억원
89,포프리,"2,869만원",352.7억원
90,비테스코테크놀로지스코리아,"6,032만원",6790.6억원
91,네슬레코리아,"4,589만원",1616.7억원
92,아우딘퓨처스,"3,881만원",444.5억원
93,라벨영세일즈,"3,819만원",205.6억원
94,JVM,"5,467만원",995.6억원
95,사조대림(해상직),"5,640만원",1.2조원
96,동원시스템즈양재사무소,회사없음,회사없음
97,AVACO,"6,143만원",2251.4억원
98,비와이씨,"3,732만원",1632.9억원
99,GS칼텍스,"15,332만원",32.5조원
100,에쓰-오일,"17,323만원",24.4조원
101,한화토탈에너지스,"6,082만원",9.8조원
102,볼보그룹코리아건설기계(서울),회사없음,회사없음
103,디이엔티(DE&,회사없음1,회사없음1
104,STX엔진,"6,853만원",4582.8억원
105,TPC메카트로닉스,"4,496만원",792.6억원
106,KH바텍,"7,348만원",282.9억원
107,삼익THK,"5,737만원",3104.8억원
108,한샘이펙스,"4,549만원",1120.2억원
109,에스앤티모티브,"6,032만원",8995.4억원
110,바이와이제이,"4,144만원",404.1억원
111,SPP조선,회사없음,회사없음
112,KPX케미칼,회사없음,회사없음
113,아시아종묘,"3,342만원",241.4억원
114,HDC현대EP,회사없음,회사없음
115,두산전자사업부,회사없음,회사없음
116,금호타이어,"6,951만원",2.1조원
117,나사렛의료재단나사렛국제병원,회사없음,회사없음
118,미원스페셜티케미칼-부설연구소,"6,430만원",5348억원
119,씨케이코퍼레이션주,회사없음,회사없음
120,KH필룩스,회사없음,회사없음
121,싸이몬,"4,464만원",376.8억원
122,에스케이마이크로웍스솔루션즈,회사없음,회사없음
123,삼성중공업거제조선소,회사없음,회사없음
124,삼성SDI,"10,747만원",8.3조원
125,에코볼트,회사없음,회사없음
