,company_name,average_salary,total_sale
0,베스핀글로벌,"5,925만원",2106.5억원
1,한글과컴퓨터,"8,053만원",1153억원
2,엔에이치엔커머스,"4,771만원",336억원
3,오픈타이드코리아,회사없음,회사없음
4,제이슨그룹,"4,167만원",346.4억원
5,펜타브리드,"3,733만원",161.3억원
6,써스포,"3,402만원",34.1억원
7,클래스101,"5,641만원",866억원
8,오토소프트,"3,782만원",105.7억원
9,테스트이앤씨,"3,297만원",80.4억원
10,코오롱베니트,"6,032만원",4285.1억원
11,아이비케이시스템,"6,032만원",1900.4억원
12,디지털다임,"4,593만원",98.8억원
13,네이버시스템,"4,210만원",769.1억원
14,이지서티,"4,257만원",85.1억원
15,푸드나무,"4,171만원",1668.3억원
16,인크루트알바콜,"3,786만원",89.3억원
17,골프존,"9,073만원",4133억원
18,폴라리스오피스,"5,240만원",181.9억원
19,메타넷글로벌,"5,446만원",344.2억원
20,드림어스컴퍼니,"5,748만원",2396.2억원
21,아이패밀리에스씨,"6,015만원",716.2억원
22,블루버드,"5,450만원",743억원
23,메가존클라우드,"5,484만원",4595.9억원
24,옐로오투오,회사없음,회사없음
25,슈어소프트테크,"4,544만원",332억원
26,토마토시스템,"3,989만원",228.6억원
27,유빈스,"3,781만원",1077.1억원
28,다날,"5,721만원",2241.2억원
29,크래프톤,"10,327만원",1.8조원
30,카카오엔터테인먼트,"6,082만원",8772.1억원
31,이지케어텍,"6,035만원",767.5억원
32,파수,"5,466만원",368.1억원
33,애드캡슐소프트,"4,159만원",192.8억원
34,코그,"5,012만원",398.2억원
35,케이지모빌리언스,"4,474만원",2396.4억원
36,퓨렌스,"4,062만원",40.5억원
37,비바리퍼블리카,"14,717만원",2290.2억원
38,코이스,"5,023만원",39.6억원
39,한국특허기술진흥원,회사없음,회사없음
40,쌍용정보통신,"5,630만원",2052억원
41,한국아이비엠테크니컬솔루션,"1,906만원",272.5억원
42,알서포트,수집 중..,419.6억원
43,한국마이크로소프트,"6,032만원",1.2조원
44,알티캐스트,"1,977만원",226.6억원
45,컴파트너스,"3,692만원",188.3억원
46,코난테크놀로지,"5,664만원",178.5억원
47,샌드박스네트워크,"4,543만원",1136.7억원
48,연합뉴스,"6,032만원",1822.8억원
49,가비아,회사없음,회사없음
50,케이원정보통신,회사없음,회사없음
51,더핑크퐁컴퍼니,"4,892만원",657.1억원
52,엠디에스테크,회사없음,회사없음
53,엔디에스,회사없음,회사없음
54,웅진,회사없음,회사없음
55,지씨케어,회사없음,회사없음
56,지어소프트,"3,816만원",561.9억원
57,다음커뮤니케이션,"12,717만원",2.1조원
58,인베니아,"6,662만원",1342.3억원
59,아사달,회사없음,회사없음
60,대보정보통신,"4,346만원",1466.6억원
61,콤텍시스템,"5,891만원",2010.2억원
62,와디즈,"3,572만원",269만원
63,비트컴퓨터,"5,274만원",344.9억원
64,디비아이엔씨,"7,727만원",2784.2억원
65,조이시티,"6,927만원",2008.7억원
66,페이레터,"4,630만원",1037.3억원
67,현대엠엔소프트,"7,384만원",2727.1억원
68,이모션글로벌,"4,114만원",116.9억원
69,대우정보시스템,"4,347만원",1731.4억원
70,유비케어,"5,389만원",1035.8억원
71,에임시스템,"5,319만원",482.3억원
72,틱톡,회사없음1,회사없음1
73,스마일게이트엔터테인먼트,"6,032만원",6097.2억원
74,엔에이치엔케이씨피,회사없음,회사없음
75,진학사,"4,022만원",155.7억원
76,위즈그룹,"3,355만원",78.7억원
77,가온아이,"4,232만원",466.1억원
78,게임빌,"9,628만원",764억원
79,그라비티,"5,277만원",2882.6억원
80,에스코어,회사없음,회사없음
81,나무커뮤니케이션,"4,105만원",153.6억원
82,케이씨씨정보통신,"4,693만원",972.2억원
83,위민,"2,206만원",86.8억원
84,이니텍,"2,902만원",22.9억원
85,키위컴퍼니,"4,037만원",2361만원
86,아이헤이트플라잉버그스,"3,776만원",32억원
87,하이퍼커넥트,"6,032만원",1819.5억원
88,웹케시,"5,498만원",819억원
89,이트라이브,"4,488만원",122.9억원
90,더화이트커뮤니케이션,"3,097만원",101.6억원
91,에스큐아이소프트,"4,884만원",212.5억원
92,지니,회사없음,회사없음
93,바이널씨,수집 중..,154.9억원
94,디케이서비스,회사없음,회사없음
95,모니터랩,"4,448만원",107.2억원
96,미디어윌네트웍스,"5,123만원",494.3억원
97,유비벨록스,"5,498만원",935.3억원
98,구글코리아,회사없음,회사없음
99,소리바다,"5,320만원",67.6억원
