,company_name,average_salary,total_sale
0,얍컴퍼니,"5,326만원",5.2억원
1,엔키아,"5,598만원",177.6억원
2,케이지제로인,회사없음,회사없음
3,트릿지,"4,933만원",265.3억원
4,씨에이에스,"4,529만원",249.3억원
5,아이덴티티게임즈,"5,254만원",168.5억원
6,우리에프아이에스,"6,082만원",2703억원
7,디비에프아이에스,"6,032만원",517.9억원
8,엑스엘게임즈,"5,526만원",272.1억원
9,이루온,"6,092만원",196.1억원
10,발란,"4,544만원",521.8억원
11,엔비티,"3,351만원",14.5억원
12,엘루오씨앤씨,"4,557만원",138.9억원
13,동양네트웍스,"17,550만원",556.9억원
14,슈어엠,"3,833만원",204.4억원
15,딜리,"3,668만원",352.1억원
16,버킷플레이스,"5,745만원",1176.3억원
17,에이트원,"4,270만원",35.1억원
18,와일리,"4,613만원",212.2억원
19,브리지텍,"6,112만원",543.6억원
20,쇼엠,"2,582만원",64.1억원
21,케이에스넷,"5,976만원",1961.3억원
22,리파인,회사없음,회사없음
23,팍스넷,"5,362만원",45.3억원
24,라온피플,"5,833만원",195.8억원
25,마크애니,"5,480만원",237.4억원
26,위자드랩,"5,299만원",101.9억원
27,스터디맥스,"5,255만원",272.7억원
28,중외정보기술,"4,629만원",219.8억원
29,싸이버로지텍,"7,785만원",571억원
30,엠스텍,"3,925만원",262.8억원
31,여보야,"4,523만원",204.7억원
32,카카오스타일,"5,519만원",652.2억원
33,링네트,"5,974만원",2108.4억원
34,인젠트,"5,126만원",296.4억원
35,투믹스,"3,784만원",247.2억원
36,네이버클라우드,"6,082만원",8602.6억원
37,와이드모바일,"3,035만원",36.2억원
38,갤럭시아머니트리,"5,530만원",941.6억원
39,스테이션3,"4,863만원",246억원
40,중고나라,"4,683만원",86.6억원
41,비플라이소프트,"3,250만원",169.9억원
42,위세아이텍,"3,149만원",340.6억원
43,탑코,"4,156만원",658.6억원
44,핑거,"6,479만원",909.4억원
45,블리자드엔터테인먼트,"5,719만원",461.1억원
46,이씨플라자,"3,827만원",148억원
47,한국자산평가,"4,701만원",278.6억원
48,에스더블유엠,회사없음,회사없음
49,오픈베이스,"6,436만원",746.8억원
50,카카오브이엑스,"4,981만원",1137.6억원
51,노아에스앤씨,"4,523만원",46.2억원
52,아마존웹서비스,회사없음,회사없음
53,쓰리아이,"5,047만원",237.1억원
54,씨케이앤비,"2,966만원",73.1억원
55,유비온,"4,217만원",280.7억원
56,티맥스데이터,"2,578만원",8.1억원
57,크리스피드,"4,700만원",430억원
58,아이템베이,"4,903만원",151.7억원
59,에스넷시스템,"4,651만원",1817.5억원
60,와치텍,"5,091만원",197억원
61,디파이,회사없음,회사없음
62,모비젠,"5,543만원",260.9억원
63,인벤,회사없음,회사없음
64,시스게이트,"3,547만원",177.1억원
65,시큐브,"5,541만원",132억원
66,옐로모바일,"10,063만원",22.9억원
67,에이케이아이에스,"4,362만원",425.1억원
68,유라클,"5,435만원",336.4억원
69,케이웨더,"4,129만원",113.4억원
70,넷앤드,"4,877만원",246.1억원
71,누리플렉스,"5,440만원",323.6억원
72,앱코,"4,042만원",1018.3억원
73,인성정보,"4,293만원",1070.1억원
74,판도라티비,"4,232만원",58.5억원
75,플레이오토,"3,734만원",106.4억원
76,비스텔,"2,722만원",304.9억원
77,세종텔레콤,"3,769만원",65.2억원
78,인픽스,"4,355만원",112.6억원
79,인지소프트,"2,561만원",194억원
80,매드업,"4,830만원",193억원
81,플랜아이,회사없음,회사없음
82,엠게임,"4,186만원",553억원
83,매경닷컴,"4,392만원",246억원
84,아이엠폼,"3,831만원",75.2억원
85,유디아이디,"4,429만원",243.4억원
86,메디컬아이피,"4,133만원",8.9억원
87,에릭슨엘지,"6,032만원",4490.6억원
88,아이티센,"2,523만원",13.5억원
89,번개장터,"5,170만원",249.6억원
90,오파스넷,"5,726만원",1216.9억원
91,토탈소프트뱅크,"4,841만원",140.9억원
92,교보정보통신,"5,678만원",623.4억원
93,소프트캠프,"6,011만원",202.9억원
94,한화에스앤씨,회사없음,회사없음
95,네오플,"6,082만원",7611.1억원
