,company_name,average_salary,total_sale
0,삼성전자,"12,848만원",199.7조원
1,LG전자,"11,371만원",27.8조원
2,엘지디스플레이,"9,427만원",28.4조원
3,현대자동차,"10,523만원",55.6조원
4,엘지이노텍,"7,652만원",14.6조원
5,CJ제일제당,회사없음1,회사없음1
6,한국전력공사,"7,879만원",59.7조원
7,LG화학,"11,855만원",22.3조원
8,에스케이하이닉스,"12,710만원",41.6조원
9,에이치디현대중공업,회사없음,회사없음
10,삼성중공업,회사없음,회사없음
11,아모레퍼시픽,"6,999만원",3.5조원
12,앰코테크놀로지코리아,"5,155만원",3.1조원
13,삼성에스디아이,"10,747만원",11.6조원
14,포스코홀딩스,회사없음,회사없음
15,배스킨라빈스 ,"4,229만원",7507.2억원
16,케이씨씨,"3,752만원",10.3억원
17,이랜드월드,"1,981만원",1.2조원
18,한화오션,회사없음,회사없음
19,삼성전기,"4,960만원",7.2조원
20,현대모비스,"10,520만원",27.3조원
21,현대제철,"10,707만원",20조원
22,두산에너빌리티,"6,132만원",3.6조원
23,엘지생활건강,"8,203만원",5조원
24,기아,"6,132만원",41조원
25,한국수력원자력,"8,587만원",9.3조원
26,스태츠칩팩코리아,"5,267만원",8572.9억원
27,바디프랜드,"3,994만원",5548.8억원
28,와이지-원,"4,169만원",3308.7억원
29,유라코퍼레이션,"4,847만원",20.2억원
30,삼성디스플레이,수집 중..,28.8조원
31,동원에프앤비,"4,266만원",1.8조원
32,LF,"6,267만원",1.1조원
33,코리아써키트,"4,809만원",6470.7억원
34,삼성엔지니어링,"10,966만원",5.1조원
35,한국콜마,"5,886만원",6328.2억원
36,세아상역,"6,032만원",2조원
37,해태제과식품,"5,097만원",5360.1억원
38,오뚜기,"4,850만원",2.4조원
39,캐논코리아,"5,315만원",6125억원
40,한솔섬유,"1,540만원",24.1억원
41,에이치디현대인프라코어,회사없음,회사없음
42,에스엘,"2,129만원",8.8억원
43,한국수자원공사,"7,402만원",4조원
44,한국후지필름비즈니스이노베이션,"5,441만원",2434억원
45,코스맥스,"6,255만원",8531.5억원
46,르노코리아자동차,"6,082만원",3.9조원
47,샘표식품,"4,635만원",3411.4억원
48,대상,"3,905만원",272.2억원
49,롯데웰푸드,회사없음,회사없음
50,한세실업,"7,677만원",1.6조원
51,일진글로벌홀딩스,"5,932만원",81.3억원
52,효성,"5,852만원",34.9억원
53,금호타이어,"6,951만원",2.1조원
54,유니셈,"4,473만원",2900.7억원
55,에스케이실트론,"10,339만원",1.8조원
56,에이블씨엔씨,"5,598만원",1994.5억원
57,크린팩토메이션,"5,646만원",3185.6억원
58,파리크라상,"4,980만원",1.9조원
59,한국항공우주산업,회사없음1,회사없음1
60,한국에스지에스,"5,815만원",1785.4억원
61,엘엑스하우시스,"6,082만원",3조원
62,미미박스,"4,379만원",325억원
63,모베이스전자,"5,703만원",6010.9억원
64,롯데칠성음료,"6,368만원",2.3조원
65,한화,회사없음,회사없음
66,오비맥주,"6,082만원",1.3조원
67,현대트랜시스,"9,756만원",6.5조원
68,한국단자공업,"6,734만원",9076.6억원
69,동진쎄미켐,"6,812만원",7937.3억원
70,네패스,"4,389만원",3454.6억원
71,만도,"9,594만원",2.9조원
72,동우화인켐,"6,032만원",2.5조원
73,테크윙,"5,634만원",2225.2억원
74,남양유업,회사없음,회사없음
75,도쿄일렉트론코리아,"6,082만원",1.2조원
76,한국지엠,"6,132만원",7조원
77,영풍전자,"4,571만원",6667.6억원
78,대덕전자,"14,562만원",1.1조원
79,코오롱인더스트리,"7,347만원",3.4조원
80,매일유업,"6,964만원",1.5조원
81,삼양식품,"4,307만원",6308.7억원
82,네이처리퍼블릭,"5,149만원",1255.2억원
83,농심,회사없음,회사없음
84,한섬,회사없음,회사없음
85,청호나이스,"3,854만원",4210.3억원
86,씨에스케이,회사없음,회사없음
87,경동나비엔,"6,566만원",7742.9억원
88,엠씨넥스,"5,274만원",8176.3억원
89,롯데케미칼,"9,420만원",13.7조원
90,신성통상,"2,238만원",16.1억원
91,카페베네,"4,645만원",181.1억원
92,엘앤에프,"4,951만원",44.5억원
93,원익아이피에스,"7,565만원",1.2조원
94,케이씨텍,회사없음,회사없음
95,타이코에이엠피,"5,298만원",6499.1억원
96,신도리코,"7,127만원",3086.3억원
97,현대로템,"9,467만원",2.8조원
98,성우하이텍,"3,557만원",8.2억원
99,한미반도체,"6,219만원",3717.4억원
100,세메스,"10,670만원",3.1조원
101,한국인터텍테스팅서비스,"4,440만원",389.6억원
