,company_name,average_salary,total_sale
0,한미약품,"7,518만원",9170.2억원
1,대웅제약,"7,211만원",1.1조원
2,오스템임플란트,회사없음,회사없음
3,종근당,"7,534만원",1.3조원
4,삼성바이오로직스,"8,690만원",1.6조원
5,녹십자,"6,901만원",1.2조원
6,제일약품,"6,096만원",7016.4억원
7,한국유나이티드제약,"5,861만원",2213.1억원
8,국립암센터,"7,476만원",3953.8억원
9,셀트리온,"7,893만원",1.6조원
10,서울대학교병원,"6,930만원",2.2조원
11,에이치케이이노엔,"5,950만원",7682.7억원
12,덴티움,"5,328만원",2252.4억원
13,JW중외제약,"6,288만원",6018.2억원
14,보령,"3,477만원",10.1억원
15,일동제약,"7,847만원",5591.5억원
16,씨젠,"1,027만원",8.8억원
17,신흥,"3,579만원",888.6억원
18,셀트리온제약,"6,693만원",3987.4억원
19,분당서울대학교병원,회사없음,회사없음
20,대원제약,"8,367만원",3390.8억원
21,일양약품,"7,395만원",2302.7억원
22,한독,"7,126만원",5111.5억원
23,휴온스,"5,884만원",4036억원
24,동국제약,"6,276만원",5153.8억원
25,마크로젠,"5,113만원",1000.9억원
26,한국장애인고용공단,"5,475만원",3940.8억원
27,바이오니아,"4,879만원",1272.6억원
28,에스티팜,"6,540만원",1391.4억원
29,아이센스,"5,012만원",1938.8억원
30,광동제약,"6,624만원",8252.3억원
31,동아에스티,"7,012만원",5901.2억원
32,한국의학연구소,"5,285만원",2461.6억원
33,휴젤,"5,462만원",2011.4억원
34,한국애보트진단,"5,491만원",6105.6억원
35,유한양행,"9,077만원",1.6조원
36,바이넥스,"4,816만원",1343.6억원
37,환인제약,"6,322만원",1771.8억원
38,한림제약,"5,679만원",1843.4억원
39,써모피셔사이언티픽코리아,"6,032만원",1241.1억원
40,안국약품,"6,792만원",1510.4억원
41,신풍제약,"6,439만원",1797.8억원
42,유니메드제약,"4,796만원",1321.2억원
43,와이에스생명과학,"3,049만원",55.3억원
44,한스바이오메드,"3,986만원",399.9억원
45,케어젠,"5,511만원",590.9억원
46,메디톡스,"5,163만원",1687.2억원
47,푸르니보육지원재단,회사없음,회사없음
48,한국건강관리협회,"5,932만원",5175.4억원
49,네오바이오텍,"3,602만원",720.6억원
50,오상헬스케어,"5,725만원",1295.9억원
51,경동제약,"6,306만원",1730.2억원
52,경보제약,"6,522만원",1706.6억원
53,에스디바이오센서,"10,754만원",2.8조원
54,이연제약,"7,241만원",1428억원
55,제노스,회사없음,회사없음
56,사회복지법인월드비전,"4,644만원",회사없음1
57,코오롱생명과학,회사없음,회사없음
58,서흥,"3,011만원",21.4억원
59,에이프로젠바이오로직스,"4,137만원",201.1억원
60,유영제약,"5,132만원",1142억원
61,대한적십자사,"5,867만원",6323.4억원
62,하이로닉,수집 중..,208.3억원
63,프레스티지바이오로직스,"2,133만원",32.3억원
64,동아제약,"6,032만원",4373.7억원
65,건일제약,"5,104만원",1040.4억원
66,동성제약,"4,470만원",844.1억원
67,진양제약,"4,626만원",628.4억원
68,부광약품,"6,085만원",1816.3억원
69,충남대학교병원,"7,047만원",5729.8억원
70,명인제약,"5,972만원",2094.5억원
71,알피바이오,"4,263만원",1149.6억원
72,바이엘코리아,"6,032만원",3400.6억원
73,유한화학,"6,032만원",1382.1억원
74,일성신약,"4,925만원",420.9억원
75,시지바이오,"4,898만원",945.5억원
76,하나제약,"6,220만원",1964.1억원
77,삼광의료재단,회사없음,회사없음
78,자생한방병원,회사없음1,회사없음1
79,종근당바이오,"6,256만원",1420.4억원
80,경북대학교병원,"6,939만원",7137.2억원
81,동화약품,"6,896만원",2722.1억원
82,제이더블유신약,"6,987만원",885.7억원
83,비씨월드제약,"4,085만원",608.5억원
84,사회복지법인 밀알복지재단,"3,365만원",726.7억원
85,삼아제약,"5,572만원",546.7억원
86,영진약품,"6,514만원",1960.7억원
87,유유제약,"5,006만원",912.8억원
88,고려제약,"5,328만원",744.7억원
89,부산대학교병원,"6,401만원",9281.1억원
90,펜믹스,회사없음1,회사없음1
91,경희의료원,회사없음,회사없음
92,삼천당제약,"6,222만원",1208.7억원
93,메드트로닉코리아,"6,032만원",4225.3억원
94,중앙대학교병원,회사없음,회사없음
95,드림씨아이에스,"4,778만원",261.5억원
96,현대약품,"3,783만원",45억원
97,녹십자셀,"6,901만원",1.2조원
98,로킷헬스케어,"4,846만원",36억원
99,삼일제약,"6,076만원",1339.6억원
100,경남제약,"4,682만원",650.7억원
101,대한산업보건협회,"5,359만원",1711.7억원
102,태준제약,"5,627만원",1023.3억원
103,휴마시스,"7,193만원",3074.8억원
104,사이넥스,"4,743만원",472.5억원
105,한국얀센,회사없음,회사없음
106,글락소스미스클라인,"6,032만원",3044.5억원
107,연세의료원,회사없음1,회사없음1
108,유바이오로직스,"4,220만원",393.9억원
109,대한뉴팜,"5,825만원",1665.9억원
110,세이브더칠드런코리아,"4,267만원",670억원
111,디알텍,"2,282만원",104.7억원
112,한미정밀화학,"5,498만원",871.6억원
113,이원의료재단,회사없음,회사없음
114,실로암시각장애인복지관,회사없음,회사없음
115,삼진제약,"7,992만원",2500.7억원
116,국립중앙의료원,"6,822만원",1127.8억원
117,아산제약,"4,633만원",745.1억원
118,제넥신,수집 중..,383.2억원
119,한국프라임제약,"4,757만원",1250.2억원
120,CMG제약,"5,560만원",586.2억원
121,에스엘에스바이오,"4,512만원",82.4억원
122,녹십자의료재단,회사없음,회사없음
123,메드파크,"3,738만원",63.7억원
124,아주약품,"5,514만원",1278.7억원
125,알보젠코리아,"6,645만원",2319.6억원
126,콜마비앤에이치푸디팜사업부문,회사없음,회사없음
127,메디포스트,"2,818만원",549.1억원
128,에스텍파마,"5,441만원",602.9억원
129,승가원,회사없음1,회사없음1
130,충북대학교병원,"6,673만원",2917.4억원
131,파마리서치,"5,177만원",1385.6억원
132,대웅바이오,"6,032만원",3892억원
133,서울특별시보라매병원,회사없음,회사없음
134,한국유니온제약,"4,065만원",512.6억원
135,조아제약,"5,752만원",565.3억원
136,오리엔트바이오,"2,908만원",251.8억원
137,국제약품,"6,993만원",1157.4억원
138,서울특별시서울의료원,"5,444만원",1302.6억원
139,메타바이오메드,"5,158만원",533.3억원
140,전남대학교병원,"7,050만원",8223.6억원
141,한화제약,"5,743만원",665.3억원
142,차바이오텍,"3,624만원",352.9억원
143,이수앱지스,"5,172만원",280.2억원
144,대정화금,"4,251만원",889.3억원
145,한국백신,"4,567만원",434억원
146,바이오넷,"4,733만원",74.9억원
147,서울제약,"4,875만원",404.6억원
148,보령바이오파마,"5,725만원",1391.3억원
149,다림바이오텍,"5,184만원",484.6억원
150,얀센백신,회사없음,회사없음
151,쎌바이오텍,"5,049만원",440억원
152,신신제약,"5,514만원",736.9억원
153,코스모진텍,"3,466만원",120.5억원
154,에스케이바이오랜드,"5,564만원",1006.7억원
155,제이더블유생명과학,"5,863만원",1641.1억원
156,전북대학교병원,"7,595만원",3950.5억원
157,콜마파마,"6,931만원",939억원
158,경상대학교병원,"6,505만원",3996.7억원
159,한국코러스,"4,003만원",302.8억원
160,이니스트에스티,"5,305만원",543.7억원
161,래피젠,"5,650만원",1212.8억원
162,인트론바이오테크놀로지,"5,291만원",293.1억원
163,한국오츠카제약,회사없음,회사없음
164,강원대학교병원,"5,648만원",1534.2억원
165,알바이오,"3,487만원",25.2억원
166,의료법인인성의료재단 한림병원,회사없음,회사없음
167,바디텍메드,"4,535만원",1410.4억원
168,테고사이언스,"3,744만원",78.9억원
169,셀리버리,"3,782만원",11.4억원
170,오산한국병원,회사없음1,회사없음1
171,메디트,"5,577만원",1905.9억원
172,에스트라,"3,160만원",1111.4억원
173,바이오노트,"11,119만원",6200.5억원
174,구주제약,"4,581만원",444.2억원
175,녹십자웰빙,"6,170만원",909.7억원
176,다산제약,"4,753만원",518.7억원
177,한국비엔씨,"3,427만원",166.8억원
178,애니젠,"3,607만원",102.7억원
179,코오롱제약,"6,032만원",982.3억원
180,비보존제약,회사없음,회사없음
181,제뉴원사이언스,"5,471만원",2169.3억원
182,엔티엘의료재단,회사없음,회사없음
