,company_name,average_salary,total_sale
0,대한무역투자진흥공사,"9,431만원",5131.5억원
1,삼일회계법인,"6,082만원",6131.2억원
2,한영회계법인,회사없음,회사없음
3,삼정회계법인,"6,082만원",4743.4억원
4,안진회계법인,"4,245만원",41억원
5,한국과학기술연구원,"9,571만원",3818.1억원
6,한국환경공단,"5,967만원",1.3조원
7,한국국제협력단,"6,709만원",9432.6억원
8,한국능률협회컨설팅,"10,400만원",800억원
9,한국전자기술연구원,"5,258만원",2552억원
10,소상공인시장진흥공단,"4,994만원",16.7조원
11,한국생산기술연구원,"8,172만원",3935.8억원
12,한국화학연구원,"8,305만원",2247.6억원
13,윕스,회사없음,회사없음
14,닐슨코리아,"4,658만원",731.5억원
15,김앤장법률사무소,회사없음,회사없음
16,도로교통공단,"6,383만원",3043.2억원
17,한국생산성본부,"5,580만원",1858.8억원
18,건강보험심사평가원,"6,587만원",4084.5억원
19,중소벤처기업진흥공단,"8,047만원",9071.7억원
20,한국리서치,"5,233만원",584.8억원
21,한국화학융합시험연구원,"6,019만원",1832.1억원
22,입소스,"5,122만원",443.9억원
23,칸타코리아,"5,227만원",747.9억원
24,한국교통안전공단,"7,150만원",4360.8억원
25,한국산업기술시험원,"8,742만원",2277.3억원
26,삼정케이피엠지,"5,852만원",105억원
27,한국전자통신연구원,"10,465만원",6357.2억원
28,한국교육개발원,"8,757만원",747.1억원
29,한국생명공학연구원,"8,145만원",2121.6억원
30,한국능률협회,"4,401만원",511.2억원
31,한국원자력연구원,"9,749만원",6043.3억원
32,한국환경산업기술원,"7,169만원",5798.4억원
33,딜로이트컨설팅,"6,032만원",811.8억원
34,한국농수산식품유통공사,"6,836만원",5659.5억원
35,엑스퍼트컨설팅,"3,853만원",254.3억원
36,한국관광공사,"7,527만원",3743.9억원
37,한국아이큐비아,"6,032만원",850.6억원
38,한국무역협회,"6,032만원",2348.3억원
39,마크로밀엠브레인,"5,275만원",328.7억원
40,한국정보통신기술협회,"6,032만원",255.7억원
41,엘에스케이글로벌파마서비스,"4,840만원",355.3억원
42,대한상공회의소,"5,547만원",1074.4억원
43,한국의류시험연구원,"5,177만원",571.2억원
44,한국과학기술기획평가원,"8,420만원",700.6억원
45,한국세라믹기술원,"9,250만원",880.2억원
46,한국에너지공단,"6,782만원",9441.2억원
47,채선당,"4,309만원",381.3억원
48,한국사회보장정보원,"5,531만원",898.3억원
49,한국인터넷진흥원,"7,089만원",2133.3억원
50,농림축산검역본부,회사없음,회사없음
51,한국과학기술정보연구원,"8,313만원",1665.3억원
52,대구경북과학기술원,"10,077만원",1574.8억원
53,한국고용정보원,"6,319만원",1343.7억원
54,두산,"9,389만원",9674.6억원
55,서울시교육청,회사없음1,회사없음1
56,한국개발연구원,"7,698만원",991.9억원
57,한국해양과학기술원,"8,602만원",1762.6억원
58,엘에스,"2,376만원",8.3억원
59,한국보건복지인재원,회사없음,회사없음
60,한국에너지기술연구원,"9,714만원",1983.7억원
61,한국직업능력개발원,회사없음,회사없음
62,한국교육학술정보원,"6,008만원",2281.2억원
63,마콜컨설팅그룹,회사없음,회사없음
64,한국기계전기전자시험연구원,"5,863만원",1008.3억원
65,한국보건산업진흥원,"6,945만원",8913.9억원
66,에이티커니코리아,"6,032만원",796.9억원
67,법무법인광장,"6,082만원",회사없음1
68,특허법인 리앤목,"5,924만원",466.4억원
69,한국철도기술연구원,"9,785만원",1077.6억원
70,해커스어학연구소,"3,696만원",255.4억원
71,한국법무보호복지공단,"5,650만원",417.9억원
72,한국기계연구원,"7,869만원",1949.8억원
73,한국소비자원,"5,779만원",471.4억원
74,농촌진흥청,회사없음,회사없음
75,경기도일자리재단,"4,384만원",815.1억원
76,경기신용보증재단,회사없음,회사없음
77,한국문화관광연구원,"6,681만원",243.5억원
78,법무법인태평양,"6,032만원",3652억원
79,베인앤드컴퍼니코리아인크,회사없음,회사없음
80,한국표준과학연구원,"8,655만원",1737.3억원
81,대구테크노파크,"5,818만원",회사없음1
82,한국갤럽조사연구소,"4,742만원",321.2억원
83,한국문화재재단,"5,961만원",1078.7억원
84,한국지질자원연구원,"9,981만원",2085.1억원
85,국립수산과학원,회사없음,회사없음
86,한국산업기술진흥원,"7,312만원",2조원
87,한국환경정책평가연구원,"7,299만원",415.7억원
88,사회복지법인사회복지공동모금회,회사없음1,회사없음1
89,법무법인세종,"6,032만원",회사없음1
90,한국과학창의재단,"6,682만원",1118.9억원
91,한국건설기술연구원,"8,193만원",1807.5억원
92,메디헬프라인,"4,746만원",88.5억원
93,한국원자력의학원,"7,983만원",2280.7억원
94,한국저작권위원회,"7,167만원",434.5억원
95,인앤아웃코퍼레이션,회사없음,회사없음
96,동원엔터프라이즈,"5,626만원",872.2억원
97,중소기업기술정보진흥원,"5,938만원",1.8조원
98,한국해양수산개발원,"6,827만원",380.7억원
99,국토연구원,"8,377만원",421.2억원
100,기술과가치,"3,533만원",58.4억원
101,한국건강가정진흥원,"4,245만원",245.2억원
102,한국행정연구원,"6,248만원",202.2억원
103,신승회계법인,"5,167만원",217.6억원
104,창업진흥원,"6,452만원",9793.1억원
105,성창기업지주,"3,568만원",75억원
106,한국교통연구원,"8,665만원",498.9억원
107,한국식품연구원,"6,666만원",594.4억원
108,인포마스터,회사없음,회사없음
109,정보통신산업진흥원,"7,773만원",7238.3억원
110,한국소방산업기술원,"6,276만원",465.7억원
111,인터브랜드,"5,932만원",83.8억원
112,서울올림픽기념국민체육진흥공단,"7,080만원",6.3조원
113,한국식품안전관리인증원,"5,287만원",432.7억원
114,식품안전정보원,"4,398만원",104.9억원
115,지에프케이리테일앤테크놀로지코리아리미티드,회사없음,회사없음
116,서울연구원,회사없음,회사없음
117,에이치엘비제약,"4,439만원",628.5억원
118,한국보훈복지의료공단,"6,196만원",1.1조원
119,스마일게이트홀딩스,"6,032만원",6178.9억원
120,중소기업중앙회,"6,032만원",2630.2억원
121,한국산업관계연구원,"4,374만원",101.7억원
122,언스트앤영어드바이저리,"5,882만원",32.1억원
123,차세대융합기술연구원,"4,904만원",201.6억원
124,더비엔아이,"4,521만원",52.9억원
125,바이오코아,"3,773만원",209.1억원
126,노사발전재단,"4,743만원",326.2억원
127,리서치랩,"3,575만원",112.6억원
128,케이티지,"4,201만원",85.4억원
129,한국산업기술평가관리원,"8,714만원",2.6조원
130,리서치앤리서치,"4,337만원",122.3억원
131,대한법률구조공단,"7,023만원",659.2억원
132,에프에이모스트,"2,632만원",434.7억원
133,한국보육진흥원,회사없음,회사없음
134,한국정보통신진흥협회,"6,032만원",94.7억원
135,국립생태원,"6,272만원",747.9억원
136,인천테크노파크,회사없음,회사없음
137,한국조세재정연구원,"7,364만원",451.4억원
138,한국청소년활동진흥원,"5,039만원",407억원
139,삼육오엠씨네트웍스,"5,243만원",79억원
140,삼정케이피엠지컨설팅,"5,852만원",105억원
141,자트코코리아엔지니어링,"6,032만원",276.4억원
142,제이엠커리어,"3,110만원",100.4억원
143,헬릭스미스,"4,778만원",28.1억원
144,김대중컨벤션센터,회사없음,회사없음
145,대외경제정책연구원,"7,063만원",349.3억원
146,라이언앤코,"3,903만원",42.6억원
147,대구디지털혁신진흥원,회사없음,회사없음
148,국방과학연구소,회사없음,회사없음
149,맥킨지인코포레이티드한국지점,회사없음,회사없음
150,한국발명진흥회,"6,601만원",1139.2억원
151,한국임업진흥원,"5,659만원",1019.7억원
152,디티앤씨알오,"3,503만원",327.5억원
153,질병관리청,회사없음,회사없음
154,한국한의학연구원,"7,468만원",18.2억원
155,한국의약품안전관리원,"5,484만원",165.5억원
156,기초과학연구원,"7,669만원",3665.2억원
157,한국여성정책연구원,"7,637만원",210.2억원
158,한국농촌경제연구원,"7,784만원",367.2억원
159,주한미국대사관,회사없음,회사없음
160,법무법인대륙아주,"5,871만원",565.6억원
161,서연,"10,771만원",152.5억원
162,테크노베이션파트너스,회사없음,회사없음
163,과학기술정책연구원,"6,870만원",260.7억원
164,서울지방경찰청,회사없음1,회사없음1
165,산업연구원,"6,969만원",308.3억원
166,우리회계법인,"6,012만원",331.7억원
