,company_name,average_salary,total_sale
0,에스씨케이컴퍼니,회사없음,회사없음
1,한국맥도날드,"3,840만원",8678.7억원
2,롯데리아 ,"3,393만원",6748억원
3,트랜스코스모스코리아,"2,891만원",3641.7억원
4,유베이스,"2,887만원",3895.7억원
5,하나투어,"3,429만원",107.8억원
6,세스코,"4,849만원",3847.4억원
7,에스텍시스템,"3,789만원",5274.5억원
8,아워홈,"3,915만원",1.6조원
9,에스케이쉴더스,"5,252만원",회사없음
10,유니에스,"3,799만원",60.8억원
11,커피빈코리아,"2,369만원",1359.4억원
12,씨제이푸드빌,"1,779만원",회사없음1
13,호텔신라,"5,127만원",3.4조원
14,빕스 ,회사없음,회사없음
15,비케이알,"1,549만원",6784.4억원
16,에스원,회사없음,회사없음
17,삼구아이앤씨,"3,976만원",6737.6억원
18,아웃백스테이크하우스코리아,"2,230만원",3927.8억원
19,메타넷엠플랫폼,"2,700만원",2733.7억원
20,코웨이,회사없음,회사없음
21,이트너스,"3,983만원",1507.2억원
22,던킨/던킨도너츠 ,"4,229만원",7507.2억원
23,뚜레쥬르 ,회사없음,회사없음
24,더케이텍,"3,680만원",3487.1억원
25,제니엘,회사없음,회사없음
26,한국마사회,"8,913만원",1.1조원
27,한화호텔앤드리조트,"4,515만원",4737.8억원
28,케이에이,"3,095만원",219.2억원
29,맨파워코리아,"3,411만원",2551.9억원
30,신세계푸드,"4,353만원",1.3조원
31,에이디티캡스,회사없음,회사없음
32,그린웹서비스,"4,150만원",413.3억원
33,한국전기안전공사,"6,311만원",3096억원
34,엠피씨플러스,회사없음,회사없음
35,삼성웰스토리,"6,034만원",2.1조원
36,노랑풍선,"2,938만원",25.1억원
37,휴먼티에스에스,"5,255만원",1788.3억원
38,모두투어네트워크,"2,893만원",40.8억원
39,세일즈웍스 코리아,"3,604만원",100.9억원
40,케이에프씨코리아,"3,802만원",2099.2억원
41,프로에스콤,"3,702만원",2608억원
42,스탭스,"3,646만원",413.4억원
43,AJ네트웍스,"5,505만원",4855.2억
44,공차코리아,"2,042만원",1091.5억원
45,한국피자헛,"2,650만원",965.7억원
46,이랜드파크,"3,820만원",893.6억원
47,조선호텔앤리조트,"4,293만원",3107.2억원
48,그랜드코리아레저,"6,826만원",850.9억원
49,에스피씨그룹,회사없음,회사없음
50,한국농어촌공사,"6,822만원",4.4조원
51,키스템프,"3,848만원",435.1억원
52,참좋은여행,"3,466만원",48.6억원
53,서비스에이스,"4,576만원",1971.5억원
54,서비스탑,"4,449만원",1933.8억원
55,키자니아,회사없음,회사없음
56,티지아이프라이데이스 ,회사없음,회사없음
57,삼성전자서비스,"6,076만원",1.7조원
58,호텔롯데,"5,729만원",4.2조원
59,윌앤비전,"2,890만원",1431.3억원
60,맥서브,"3,259만원",3938.4억원
61,한국고용정보,"2,879만원",1402.9억원
62,대명레저산업,"3,858만원",6.3억원
63,쏘카,"5,408만원",2849.5억원
64,레드캡투어,"4,748만원",2228.4억원
65,한솥,"3,692만원",1122.1억원
66,약손명가,"4,487만원",63.7억원
67,본아이에프,"5,478만원",2482.4억원
68,디앤오,회사없음,회사없음
69,내일투어,"3,711만원",102.3억원
70,에프아이티아이시험연구원,"5,496만원",1010억원
71,국립공원공단,회사없음,회사없음
72,엔에이치엔여행박사,"3,877만원",238.2억원
73,롯데관광개발,"4,379만원",946.8억원
74,해비치호텔앤드리조트,"3,915만원",933.4억원
75,코엑스,"6,032만원",517.2억원
76,인컴즈,회사없음,회사없음
77,씨에스원파트너,"4,124만원",844.6억원
78,케이티텔레캅,"4,246만원",5110억원
79,포스코와이드,회사없음,회사없음
80,핏펫,"5,564만원",223.5억원
81,서울랜드,"3,806만원",313.9억원
82,코레일관광개발,"3,404만원",648.8억원
83,하이엠솔루텍,"6,082만원",2094.4억원
84,요거프레소,"3,020만원",201.6억원
85,발렉스서비스,"3,655만원",2550.3억원
86,강원랜드,"7,662만원",7873.8억원
87,디티앤씨,"4,318만원",406.4억원
88,지씨셀,"5,066만원",1593.4억원
89,아데코코리아,"3,290만원",845.3억원
90,나이스디앤비,"6,223만원",647.2억원
91,씨제이텔레닉스,"4,059만원",716.5억원
92,인크루트,"4,108만원",256.5억원
93,커리어케어,"5,812만원",221.9억원
94,엘비휴넷,"4,694만원",974.7억원
95,바이오톡스텍,"4,068만원",326.7억원
96,킨텍스,"6,032만원",402.7억원
97,법무법인율촌,"6,032만원",2430.3억원
98,한국평가데이터,"6,032만원",1107억원
99,쥬비스,"3,924만원",867.8억원
100,제이더블유메리어트호텔,회사없음,회사없음
101,후니드,"3,466만원",2076억원
