,cmp,0,1,2,3,4,5,6,7,8
0,한국토지주택공사,0.0,0.0,0.41316309571266174,0.0,0.0,0.0,0.5863019824028015,0.0,0.0
1,한전KPS(주),0.0,0.0,0.9990715980529785,0.0,0.0,0.0,0.0,0.0,0.0
2,현대엔지니어링(주),0.0,0.0,0.0448114238679409,0.09867381304502487,0.0,0.0,0.29755160212516785,0.0,0.5583189725875854
3,현대건설(주),0.0,0.0,0.5194973349571228,0.10857769101858139,0.0,0.0,0.35927319526672363,0.0,0.011785789392888546
4,(주)대우건설,0.0,0.0,0.2553010582923889,0.0,0.0,0.0,0.7149630188941956,0.0,0.02821618691086769
5,지에스건설(주),0.0,0.0,0.3215613067150116,0.0,0.0,0.0,0.5499488711357117,0.0,0.1256237030029297
6,에스케이에코플랜트(주),0.0,0.0,0.0,0.0,0.0,0.0,0.9973606467247009,0.0,0.0
7,주택관리공단(주),0.0,0.0,0.7999043464660645,0.0,0.0,0.0,0.0,0.0,0.19587627053260803
8,디엘(주),0.0,0.0,0.0,0.9613297581672668,0.0,0.0,0.0,0.0,0.0
9,(주)포스코이앤씨,0.0,0.0,0.3662005364894867,0.0,0.0,0.0,0.5919227004051208,0.0,0.040299661457538605
10,한국도로공사,0.0,0.0,0.6971418261528015,0.0,0.0,0.0,0.3006088435649872,0.0,0.0
11,롯데건설(주),0.0,0.0,0.0588572733104229,0.0,0.0,0.0,0.5785295367240906,0.0,0.3610210716724396
12,(주)국보디자인,0.0,0.0,0.0,0.0,0.9928275346755981,0.0,0.0,0.0,0.0
13,(주)한국가스기술공사,0.0,0.0,0.9971673488616943,0.0,0.0,0.0,0.0,0.0,0.0
14,(주)보미건설,0.0,0.0,0.01982346549630165,0.0,0.04406653344631195,0.0,0.9349590539932251,0.0,0.0
15,(주)서희건설,0.0,0.0,0.16252930462360382,0.0,0.03680744394659996,0.0,0.45491328835487366,0.3162076771259308,0.02839013561606407
16,(주)수산인더스트리,0.0,0.0,0.9982352256774902,0.0,0.0,0.0,0.0,0.0,0.0
17,(주)도화엔지니어링,0.0,0.0,0.0,0.0,0.0,0.0,0.031489115208387375,0.0,0.9590108394622803
18,한양이엔지(주),0.0,0.0,0.6714902520179749,0.0,0.3267991244792938,0.0,0.0,0.0,0.0
19,휴먼터치(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953911900520325
