,cmp,0,1,2,3,4,5,6,7
0,해커스 교육그룹,0.0,0.0,0.9992804527282715,0.0,0.0,0.0,0.0,0.0
1,(주)동화세상에듀코,0.0,0.0,0.0,0.0,0.6861442923545837,0.0,0.0,0.3130955696105957
2,(주)에스티유니타스,0.0,0.0,0.8500576019287109,0.0,0.0,0.14719074964523315,0.0,0.0
3,에듀윌(주),0.0,0.0,0.9224008321762085,0.0,0.024868451058864594,0.05208203196525574,0.0,0.0
4,메가스터디교육(주),0.0,0.0,0.014006145298480988,0.0,0.0,0.9852949976921082,0.0,0.0
5,(주)대교,0.0,0.0,0.0,0.0,0.0,0.9980734586715698,0.0,0.0
6,에듀플렉스 (매장),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986158013343811
7,이투스교육(주),0.0,0.0,0.0,0.0,0.0,0.9978200793266296,0.0,0.0
8,아발론교육(주),0.0,0.0,0.0,0.0,0.9963940382003784,0.0,0.0,0.0
9,한국산업인력공단,0.0,0.9975104928016663,0.0,0.0,0.0,0.0,0.0,0.0
10,(주)한솔교육,0.0,0.0,0.046274494379758835,0.0,0.0,0.6087457537651062,0.0,0.34125345945358276
11,한국과학기술원,0.8900596499443054,0.0,0.0885820984840393,0.0,0.0,0.019628794863820076,0.0,0.0
12,(주)파고다아카데미,0.0,0.0,0.5188870429992676,0.0,0.4772607982158661,0.0,0.0,0.0
13,(주)디와이비최선어학원,0.0,0.0,0.0,0.0,0.026066772639751434,0.0,0.0,0.9715635776519775
14,(주)에스제이더블유인터내셔널,0.0,0.0,0.9952130913734436,0.0,0.0,0.0,0.0,0.0
15,(주)멀티캠퍼스,0.0,0.3817487359046936,0.4812568128108978,0.0,0.0,0.1353117823600769,0.0,0.0
16,메가엠디(주),0.0,0.0,0.610412061214447,0.0,0.0,0.3874596655368805,0.0,0.0
17,해커스어학원(주),0.0,0.0,0.9947208762168884,0.0,0.0,0.0,0.0,0.0
18,메가스터디(주),0.0,0.0,0.0,0.0,0.0,0.9905755519866943,0.0,0.0
19,조선대학교,0.0,0.0,0.0,0.996087908744812,0.0,0.0,0.0,0.0
20,건국대학교,0.31151407957077026,0.0,0.0,0.6795981526374817,0.0,0.0,0.0,0.0
21,(주)케이지에듀원,0.0,0.0,0.9962224364280701,0.0,0.0,0.0,0.0,0.0
22,데이원컴퍼니(주),0.0,0.0,0.9922314882278442,0.0,0.0,0.0,0.0,0.0
23,인지어스(유),0.0,0.9941176176071167,0.0,0.0,0.0,0.0,0.0,0.0
24,연세대학교,0.4052223861217499,0.0,0.0,0.5856176614761353,0.0,0.0,0.0,0.0
25,(주)캐럿글로벌,0.0,0.0,0.8976766467094421,0.0,0.0,0.0,0.0,0.10000473260879517
26,월스트리트인스티튜트코리아(주),0.0,0.0,0.0,0.0,0.0,0.0,0.9967545866966248,0.0
27,중앙대학교,0.0,0.0,0.0,0.9958473443984985,0.0,0.0,0.0,0.0
28,(주)크레버스,0.0,0.0,0.0,0.0,0.0,0.0,0.9863043427467346,0.0
29,(주)와이비엠에듀,0.0,0.0,0.38704821467399597,0.04078647494316101,0.5528366565704346,0.01585015282034874,0.0,0.0
30,한국표준협회,0.08561556041240692,0.48596179485321045,0.4257242977619171,0.0,0.0,0.0,0.0,0.0
31,와이비엠시사닷컴(주),0.0,0.0,0.7446910738945007,0.0,0.0,0.0,0.0,0.21954478323459625
32,(주)좋은책신사고,0.0,0.0,0.19811080396175385,0.0,0.0,0.7948064804077148,0.0,0.0
33,(주)아이지엠세계경영연구원,0.0,0.9843483567237854,0.0,0.0,0.0,0.0,0.0,0.0
34,(주)디쉐어,0.0,0.0,0.26664990186691284,0.0,0.727435290813446,0.0,0.0,0.0
35,(주)씨엠에스에듀,0.46374788880348206,0.0,0.03321126848459244,0.0,0.43166014552116394,0.0,0.0,0.0684521496295929
36,경희사이버대학교,0.0,0.0,0.0,0.9906768202781677,0.0,0.0,0.0,0.0
37,(주)챔프스터디,0.0,0.0,0.9983558654785156,0.0,0.0,0.0,0.0,0.0
38,(주)정상제이엘에스,0.1518273949623108,0.0,0.0,0.0,0.3377806842327118,0.0,0.0,0.5080732703208923
39,계명대학교,0.0,0.0,0.0,0.9915726780891418,0.0,0.0,0.0,0.0
40,(주)한솔요리학원,0.0,0.0,0.1396310031414032,0.0,0.4438469707965851,0.0,0.4129239618778229,0.0
41,한남대학교,0.0,0.0,0.0,0.9899256229400635,0.0,0.0,0.0,0.0
42,(주)파고다에스씨에스,0.0,0.0,0.7956923842430115,0.0,0.0,0.0,0.012661448679864407,0.1836184561252594
43,인하대학교,0.0,0.0,0.0,0.9957252740859985,0.0,0.0,0.0,0.0
44,한국방송통신대학교,0.9924442768096924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,한국문화예술교육진흥원,0.0,0.1376682072877884,0.8541797399520874,0.0,0.0,0.0,0.0,0.0
46,부경대학교,0.9902651906013489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
