,cmp,0,1,2,3,4,5,6,7,8
0,해커스 교육그룹,0.0,0.0,0.0,0.9964802265167236,0.0,0.0,0.0,0.0,0.0
1,(주)동화세상에듀코,0.0,0.11780507862567902,0.0,0.0,0.0,0.0,0.0,0.0,0.881492555141449
2,(주)에스티유니타스,0.0,0.0,0.0,0.019162628799676895,0.0,0.0,0.9789108633995056,0.0,0.0
3,에듀윌(주),0.0,0.24575042724609375,0.0,0.36201101541519165,0.0,0.0,0.38912713527679443,0.0,0.0
4,메가스터디교육(주),0.0,0.08003481477499008,0.0,0.5501635670661926,0.0,0.22981169819831848,0.1396063268184662,0.0,0.0
5,(주)대교,0.0,0.26622524857521057,0.0,0.14028103649616241,0.0,0.1938963383436203,0.3987858295440674,0.0,0.0
6,에듀플렉스 (매장),0.0,0.9992390871047974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,이투스교육(주),0.0,0.16612306237220764,0.0,0.017200149595737457,0.0,0.0,0.8155266046524048,0.0,0.0
8,아발론교육(주),0.0,0.9983798265457153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,한국산업인력공단,0.9983373880386353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,(주)한솔교육,0.0,0.7973120212554932,0.0,0.0,0.0,0.0,0.1995621919631958,0.0,0.0
11,한국과학기술원,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985250234603882,0.0
12,(주)파고다아카데미,0.0,0.18963705003261566,0.0,0.0,0.0,0.0,0.8070509433746338,0.0,0.0
13,(주)디와이비최선어학원,0.0,0.9986210465431213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,(주)에스제이더블유인터내셔널,0.0,0.0,0.0,0.1595529019832611,0.0,0.0,0.8381168246269226,0.0,0.0
15,(주)멀티캠퍼스,0.056372661143541336,0.0,0.0,0.0,0.0,0.04755411297082901,0.8820289373397827,0.0,0.0
16,메가엠디(주),0.0,0.0,0.0,0.379848837852478,0.0,0.0,0.6160807609558105,0.0,0.0
17,해커스어학원(주),0.0,0.0,0.0,0.9973607659339905,0.0,0.0,0.0,0.0,0.0
18,메가스터디(주),0.0,0.0,0.0,0.2446582019329071,0.0,0.0,0.748574435710907,0.0,0.0
19,조선대학교,0.0,0.0,0.0,0.012302217073738575,0.0,0.034314386546611786,0.48752549290657043,0.4639984965324402,0.0
20,건국대학교,0.0,0.0,0.0,0.24017521739006042,0.0,0.0,0.42061111330986023,0.3373238444328308,0.0
21,(주)케이지에듀원,0.14142660796642303,0.04297865182161331,0.0,0.28868815302848816,0.0,0.0,0.5254161953926086,0.0,0.0
22,데이원컴퍼니(주),0.0,0.17357584834098816,0.0,0.0783417746424675,0.0,0.0,0.7472401261329651,0.0,0.0
23,인지어스(유),0.0,0.0,0.0,0.07404227554798126,0.0,0.0,0.0,0.9226031303405762,0.0
24,연세대학교,0.0,0.0,0.0,0.0,0.0,0.0,0.8252270221710205,0.17266929149627686,0.0
25,(주)캐럿글로벌,0.0,0.12215693295001984,0.0,0.8762770891189575,0.0,0.0,0.0,0.0,0.0
26,월스트리트인스티튜트코리아(주),0.0,0.0,0.0,0.0,0.0,0.9975014328956604,0.0,0.0,0.0
27,중앙대학교,0.0,0.0,0.0,0.17603236436843872,0.0,0.0,0.5419368147850037,0.279906302690506,0.0
28,(주)크레버스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9901160597801208
29,(주)와이비엠에듀,0.0,0.0,0.0,0.0,0.0,0.9951923489570618,0.0,0.0,0.0
30,한국표준협회,0.0,0.0,0.0,0.0,0.0,0.0,0.7784132361412048,0.21867182850837708,0.0
31,와이비엠시사닷컴(주),0.0,0.487589955329895,0.0,0.0,0.0,0.0,0.48730379343032837,0.0,0.0
32,(주)좋은책신사고,0.0,0.0,0.9946742057800293,0.0,0.0,0.0,0.0,0.0,0.0
33,(주)아이지엠세계경영연구원,0.0,0.06020144000649452,0.9253861904144287,0.0,0.0,0.0,0.0,0.0,0.0
34,(주)디쉐어,0.0,0.0,0.0,0.0,0.0,0.9952179789543152,0.0,0.0,0.0
35,(주)씨엠에스에듀,0.0,0.9979598522186279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,경희사이버대학교,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964424967765808,0.0
37,(주)챔프스터디,0.0,0.0,0.0,0.9983124136924744,0.0,0.0,0.0,0.0,0.0
38,(주)정상제이엘에스,0.0,0.9972029328346252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,계명대학교,0.0,0.0,0.0,0.8496667146682739,0.0,0.0,0.0,0.13559727370738983,0.0
40,(주)한솔요리학원,0.0,0.9977762699127197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,한남대학교,0.0,0.0,0.0,0.6151070594787598,0.0,0.0,0.3543854057788849,0.023256048560142517,0.0
42,(주)파고다에스씨에스,0.0,0.0,0.0,0.0,0.0,0.0,0.9905375838279724,0.0,0.0
43,인하대학교,0.0,0.0,0.0,0.2132149338722229,0.0,0.0,0.5467442870140076,0.23690900206565857,0.0
44,한국방송통신대학교,0.0,0.0,0.0,0.0,0.0,0.0,0.6179119348526001,0.37832826375961304,0.0
45,한국문화예술교육진흥원,0.0,0.0,0.03086784854531288,0.11548666656017303,0.0,0.0,0.8490448594093323,0.0,0.0
46,부경대학교,0.0,0.0,0.0,0.14379987120628357,0.0,0.0,0.3916362226009369,0.4593106508255005,0.0
47,(주)와이제이에듀케이션,0.0,0.0,0.0,0.0,0.0,0.0,0.9670577645301819,0.0,0.0
48,숭실대학교,0.0,0.0,0.0,0.0,0.0,0.0,0.7829893827438354,0.21035903692245483,0.0
49,광주과학기술원,0.35645321011543274,0.0,0.0,0.0,0.0,0.0,0.3353399932384491,0.30435076355934143,0.0
50,(주)디지털대성,0.0,0.0,0.0,0.0,0.0,0.9949750304222107,0.0,0.0,0.0
51,SBS아카데미게임학원,0.995121419429779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,(주)이디엠에듀케이션,0.0,0.0,0.0,0.0,0.9865272045135498,0.0,0.0,0.0,0.0
53,울산과학기술원,0.0,0.0,0.0,0.0,0.0,0.0,0.9095617532730103,0.08696366846561432,0.0
54,포항공과대학교,0.41182681918144226,0.0,0.0,0.0,0.0,0.0,0.16581889986991882,0.41932186484336853,0.0
55,한국교육과정평가원,0.0,0.0,0.9822795987129211,0.0,0.0,0.0,0.0,0.01327314879745245,0.0
56,(주)티티씨에듀,0.9155115485191345,0.07251502573490143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,서울시립대학교,0.0,0.0,0.0,0.0,0.0,0.0,0.9916089773178101,0.0,0.0
58,동서대학교,0.0,0.0,0.0,0.0,0.0,0.0,0.6785078048706055,0.316803514957428,0.0
59,충남대학교,0.0,0.0,0.0,0.0,0.0,0.0,0.9904347658157349,0.0,0.0
60,지아이티아카데미(주),0.0,0.9958627223968506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,서강대학교,0.0,0.0,0.0,0.0,0.0,0.0,0.8572722673416138,0.13601885735988617,0.0
62,(주)코리아폴리스쿨,0.0,0.013930095359683037,0.0,0.478595495223999,0.0,0.0,0.5053766965866089,0.0,0.0
63,(주)아이비김영,0.0,0.27627259492874146,0.0,0.06909861415624619,0.0,0.0,0.6514970064163208,0.0,0.0
64,(유)씨앤씨미술교육지원센터,0.0,0.9928267002105713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,(주)아토스터디,0.0,0.39592933654785156,0.33576062321662903,0.26163849234580994,0.0,0.0,0.0,0.0,0.0
66,계명대학교 산학협력단,0.0,0.0,0.0,0.0,0.0,0.0,0.9144463539123535,0.08053270727396011,0.0
67,한양사이버대학교,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931578636169434,0.0
68,전북대학교,0.0,0.0,0.0,0.0,0.0,0.0,0.9259015321731567,0.0,0.0
69,(주)하이컨시,0.0,0.43381574749946594,0.0,0.0,0.0,0.0,0.5633333921432495,0.0,0.0
70,국가평생교육진흥원,0.0,0.0,0.9942248463630676,0.0,0.0,0.0,0.0,0.0,0.0
71,이에프에듀케이션퍼스트코리아(주),0.0,0.0,0.0,0.06293866038322449,0.0,0.0,0.9236418008804321,0.0,0.0
72,이코랜스(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9841175079345703
73,잉글리쉬앤(주),0.03476675972342491,0.0,0.0,0.06415829062461853,0.0,0.0,0.8942678570747375,0.0,0.0
74,한국기술교육대학교,0.0,0.0,0.0,0.0,0.0,0.0,0.3006393313407898,0.6944655776023865,0.0
75,(주)더조은아카데미,0.0,0.9896552562713623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,인키움(주),0.0,0.0,0.0,0.0,0.0,0.0,0.9950853586196899,0.0,0.0
77,(주)지식과미래,0.0,0.0,0.0,0.9730468988418579,0.0,0.0,0.0,0.0,0.0
78,(주)지일이삼공교육,0.0,0.22874382138252258,0.0,0.0,0.0,0.0,0.7374176979064941,0.0,0.0
79,(주)티엠디교육그룹,0.0,0.0,0.0,0.0,0.0,0.0,0.9919137954711914,0.0,0.0
80,(주)데이원컴퍼니 레모네이드,0.0,0.7113357186317444,0.0,0.01621471531689167,0.0,0.0,0.27144795656204224,0.0,0.0
81,(주)이지수능교육,0.0,0.3529828190803528,0.0,0.3263595998287201,0.0,0.0,0.30895256996154785,0.0,0.0
82,(주)현대경제연구원,0.0,0.0,0.992941677570343,0.0,0.0,0.0,0.0,0.0,0.0
83,(주)대교에듀캠프,0.0,0.0,0.0,0.0,0.9916889667510986,0.0,0.0,0.0,0.0
84,HIENGLISH KOREA,0.0,0.11167899519205093,0.0,0.0,0.0,0.0,0.0,0.8647352457046509,0.0
85,(주)민병철교육그룹,0.0,0.0,0.0,0.0,0.0,0.0,0.9954385161399841,0.0,0.0
86,(주)다락원,0.9924619197845459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,인천영어마을,0.0,0.0,0.0,0.0,0.0,0.9861031770706177,0.0,0.0,0.0
88,(주)에듀라인,0.9894117116928101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,(주)링구아교육 링구아어학원,0.0,0.9969009160995483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
