,company_name,turn_over_rate
0,한국토지주택공사,(9%)
1,한전KPS,(13%)
2,현대엔지니어링,(50%)
3,현대건설,(33%)
4,대우건설,(39%)
5,지에스건설,(80%)
6,에스케이에코플랜트,(15%)
7,주택관리공단,(17%)
8,디엘,(59%)
9,포스코이앤씨,(9%)
10,한국도로공사,(16%)
11,롯데건설,(20%)
12,국보디자인,(74%)
13,한국가스기술공사,(14%)
14,보미건설,(62%)
15,서희건설,(33%)
16,수산인더스트리,(16%)
17,도화엔지니어링,(33%)
18,한양이엔지,(46%)
19,휴먼터치,(291%)
20,금화피에스시,(18%)
21,부영주택,(26%)
22,호반건설,(146%)
23,코오롱글로벌,(9%)
24,한화건설,(123%)
25,케이씨씨건설,(22%)
26,대방건설,(25%)
27,에이치제이중공업,(9999%)
28,한신공영,(34%)
29,케이알산업,(16%)
30,계룡건설산업,(24%)
31,희림종합건축사사무소,(18%)
32,금호건설,(33%)
33,유신,(14%)
34,에스지씨이테크건설,(27%)
35,아이에스동서,(16%)
36,금강주택,(33%)
37,세보엠이씨,(42%)
38,코레일테크,(76%)
39,우미건설,(41%)
40,반도건설,(21%)
41,한국종합기술,(16%)
42,한국산업단지공단,(23%)
43,서한,(28%)
44,다원앤컴퍼니,(87%)
45,해안종합건축사사무소,(14%)
46,태영건설,(62%)
47,한솔이엠이,(118%)
48,동해종합기술공사,(25%)
49,씨비알이코리아,(42%)
50,교보리얼코,(32%)
51,두산건설,(16%)
52,쌍용건설,(23%)
53,삼호개발,(32%)
54,벽산엔지니어링,정보없음.
55,동부건설,(12%)
56,한양,(67%)
57,브니엘네이처,(40%)
58,강산건설,(47%)
59,선진엔지니어링종합건축사사무소,(15%)
60,수성엔지니어링,(47%)
61,현대산업개발,(22%)
62,우리피앤에스,(44%)
63,자이에스앤디,(48%)
64,동일기술공사,(18%)
65,존스랑라살,(25%)
66,케이지엔지니어링종합건축사사무소,(22%)
67,휴머스원,(534%)
68,지에스네오텍,(24%)
69,존슨콘트롤즈인터내셔널코리아,(18%)
70,제일건설,(30%)
71,서영엔지니어링,(33%)
72,정림건축종합건축사사무소,(62%)
73,롯데자산개발,(24%)
74,디엘건설,(27%)
75,듀어코리아,(17%)
76,금성백조주택,(58%)
77,대혜건축,(60%)
78,제일엔지니어링종합건축사사무소,(29%)
79,포스코플랜텍,(13%)
80,한방유비스,(22%)
81,은민에스엔디,(29%)
82,경호엔지니어링종합건축사사무소,(24%)
83,대우조선해양건설,(124%)
84,한라,(107%)
85,계선,(37%)
86,두양건축,(169%)
87,두원이에프씨,(75%)
88,행림종합건축사사무소,(24%)
89,동아지질,(29%)
90,한미글로벌건축사사무소,(30%)
91,신안,(100%)
92,건일엠이씨,(38%)
93,간삼건축종합건축사사무소,(18%)
94,이웨이,(75%)
95,평화엔지니어링,(100%)
96,서해종합건설,(13%)
97,경기주택도시공사,(19%)
98,신세계건설,(33%)
99,대우산업개발,(267%)
100,삼원에스앤디,(77%)
101,타워피엠씨,(71%)
102,제이에스비도시환경,(133%)
103,동일인테리어,(62%)
104,신보,(25%)
105,동광제약,(14%)
106,서울데이타통신,(18%)
107,포스코엔지니어링,정보없음.
108,세아네트웍스,(26%)
109,엠에이피한터인종합건축사사무소,(26%)
110,성창이엔씨,(36%)
