,company_name,turn_over_rate
0,쿠팡,(109%)
1,씨제이올리브영,(138%)
2,에프알엘코리아,(134%)
3,이마트,(23%)
4,한샘,(11%)
5,한국철도공사,(9%)
6,홈플러스,(22%)
7,지에스리테일,(39%)
8,비지에프리테일,(51%)
9,씨제이대한통운,(9%)
10,현대백화점,(35%)
11,코리아세븐,(103%)
12,씨유 ,(46%)
13,교원,(130%)
14,이랜드리테일,(112%)
15,대한항공,(11%)
16,자라리테일코리아,(148%)
17,인터파크트리플,(4%)
18,롯데쇼핑 롯데마트사업본부,(16%)
19,삼성에버랜드,(9999%)
20,아성다이소,(50%)
21,롯데하이마트,(24%)
22,하이프라자,(11%)
23,에어코리아,(64%)
24,이디야,(53%)
25,서브원,(175%)
26,씨제이프레시웨이,(16%)
27,삼성전자판매,(8%)
28,현대그린푸드,(48%)
29,데상트코리아,(37%)
30,에이치앤엠헤네스앤모리츠,(99%)
31,엘오케이,(26%)
32,이마트에브리데이,(28%)
33,아시아나항공,(13%)
34,부루벨코리아,(34%)
35,한국미니스톱,(32%)
36,엘엑스판토스,(9%)
37,케이티엠앤에스,(36%)
38,신세계인터내셔날,(31%)
39,교보문고,(66%)
40,컬리,(64%)
41,이케아코리아,(23%)
42,굿네이버스인터내셔날,(35%)
43,코스트코코리아,(33%)
44,우리홈쇼핑,(15%)
45,제너시스비비큐,(130%)
46,이엘씨에이한국,(27%)
47,현대홈쇼핑,(17%)
48,한진,(24%)
49,현대글로비스,(8%)
50,씨제이이엔엠 오쇼핑부문,(2%)
51,스위스포트코리아,(37%)
52,신세계,(45%)
53,지에스홈쇼핑,(114%)
54,지씨바이오,(66%)
55,샤프에비에이션케이,(44%)
56,한국필립모리스,(18%)
57,디에이치엘코리아,(12%)
58,동원홈푸드,(200%)
59,경동물류,(164%)
60,러쉬코리아,(23%)
61,무인양품,(132%)
62,풀무원식품,(19%)
63,에이비씨마트코리아,(92%)
64,탐앤탐스,(68%)
65,나이키코리아,(40%)
66,지멘스,(19%)
67,스타럭스,(94%)
68,제주항공,(18%)
69,피에스앤마케팅,(16%)
70,한국쓰리엠,(11%)
71,그린스토어,(78%)
72,한국암웨이,(18%)
73,글로벌휴먼스,(107%)
74,에스에스지닷컴,(47%)
75,제로투세븐,(46%)
76,스타비젼,(50%)
77,엘브이엠에치코스메틱스,(34%)
78,에이치엠엠,(9%)
79,텐바이텐,(73%)
80,부릉,(14%)
81,쉥커코리아,(22%)
82,엔에스쇼핑,(17%)
83,대성산업,(24%)
84,포스코인터내셔널,(12%)
85,컴퓨존,(22%)
86,엠티콜렉션,(84%)
87,아디다스코리아,(65%)
88,이스타항공,(21%)
89,에이랜드,(177%)
90,한국에스엠씨,(7%)
91,한국화이자제약,(18%)
92,미스터피자,(9999%)
93,아가방앤컴퍼니,(45%)
94,부산교통공사,(6%)
95,유한책임회사디캐이,(84%)
96,비티지,(127%)
97,삼성물산 상사부문,(10%)
98,교보핫트랙스,(150%)
99,트라이씨클,(37%)
100,케이제이씨디스플레이코퍼레이션,(37%)
101,샤넬코리아,(31%)
102,이니스프리,(34%)
103,카스,(60%)
104,아이마켓코리아,(19%)
105,루이비통코리아,(50%)
106,비즈마켓,(44%)
107,필립스코리아,(25%)
108,한성자동차,(13%)
109,한국피앤지판매,(17%)
110,아이쿱 자연드림,(9999%)
111,스와치그룹코리아,(28%)
112,LX인터내셔널,(23%)
113,진에어,(27%)
114,비에스케이코퍼레이션,(161%)
115,에이치디엑스,(30%)
116,코닝정밀소재,(10%)
117,올림푸스한국,(12%)
118,브리티쉬아메리칸토바코코리아,(954%)
119,클라우드나인마케팅,(108%)
120,그린글로브라인,(26%)
121,서원유통,(21%)
122,에프앤디넷,(28%)
123,엔터식스패션쇼핑몰,(43%)
124,리드코프,(66%)
125,홈앤쇼핑,(13%)
126,지피클럽,(133%)
127,아시아나에어포트,(18%)
128,리치몬트코리아,(29%)
129,뉴스킨코리아,(30%)
130,한국미스미,(21%)
131,아성에이치엠피,정보없음.
132,메가마트,(29%)
133,모나미,(33%)
134,스킨푸드,(43%)
135,한국공항공사,(9%)
136,한국시세이도,(58%)
137,대림코퍼레이션,(33%)
138,알라딘커뮤니케이션,(43%)
139,까사미아,(24%)
140,한독모터스,(35%)
141,아이에스이커머스,(43%)
142,더본코리아,(28%)
143,케이비원,(75%)
144,아이피엑스,(30%)
145,익스피다이터스코리아,(16%)
146,에스와이에스리테일,(41%)
147,영원무역,(29%)
148,SK네트웍스,(25%)
149,초록마을,(50%)
150,대구교통공사,(6%)
151,세방,(300%)
152,포에버21코리아리테일,(177%)
153,한국휴렛팩커드,(11%)
154,하나로티앤에스,(27%)
155,디케이에스에이치코리아,(22%)
156,룩옵틱스,(61%)
157,용마로지스,(21%)
158,코레일네트웍스,(20%)
159,한세엠케이,(44%)
160,크레이버코퍼레이션,(41%)
161,크레텍책임,(17%)
162,다비치안경체인,(100%)
163,인천국제공항공사,(14%)
164,한익스프레스,(17%)
165,아름다운가게,(55%)
166,영풍문고,(38%)
167,메르세데스벤츠코리아,(17%)
168,에스지세계물산,(32%)
169,한진해운,(33%)
170,카버코리아,(46%)
171,티웨이항공,(15%)
172,서울문고,(33%)
173,리앤풍한국,(35%)
174,하이네켄코리아,(28%)
175,혜인식품,(52%)
176,비엠더블유코리아,(36%)
177,롯데쇼핑,(46%)
178,에어부산,(43%)
179,한국머스크,(16%)
180,올가홀푸드,(56%)
181,인천교통공사,(10%)
182,유피에스에스씨에스코리아,(20%)
183,팬오션,(6%)
184,한일후지코리아,(18%)
185,태웅로직스,(13%)
186,도이치모터스,(38%)
187,모다아울렛,정보없음.
188,애플코리아,(12%)
189,중소기업유통센터,(20%)
190,밀레코리아,(11%)
191,이스트엔드,(64%)
192,사노피아벤티스코리아,(31%)
193,한국공항,(13%)
194,키엔스코리아,(13%)
195,오피스디포코리아,(26%)
196,지에스왓슨스,(9999%)
197,유니코로지스틱스,(33%)
198,한국존슨앤드존슨메디칼,(88%)
199,현대종합상사,(21%)
200,와우벤처스,(161%)
201,대구백화점,(18%)
202,폭스바겐그룹코리아,(26%)
203,우아한청년들,(148%)
204,교촌에프앤비,(23%)
205,해피랜드에프앤씨,정보없음.
206,바바리안모터스,(34%)
207,슈나이더일렉트릭코리아,(23%)
208,쥴릭파마코리아,(17%)
209,소니코리아,(50%)
210,한국엠에스디,(19%)
211,이폴리움,(53%)
212,리레코코리아,(23%)
213,엘에스네트웍스,(14%)
214,장금상선,(13%)
215,한화갤러리아,(108%)
216,롯데아사히주류,(8%)
217,디에스브이에어앤씨,(17%)
218,씨이오인터내셔널,(67%)
219,디에이치엘글로벌포워딩코리아,(15%)
220,칼자이스,(14%)
221,한국팜비오,(16%)
222,일룸,(34%)
223,대원미디어,(28%)
224,힐티코리아,(10%)
225,마리오아울렛,(9999%)
226,천삼백케이,정보없음.
227,씨티씨바이오,(22%)
228,디에스이엔,(413%)
229,케어캠프,(27%)
230,파슬코리아,(34%)
231,풍림무약,(28%)
232,젬백스링크,(47%)
233,백제약품,정보없음.
234,체리쉬,(74%)
235,코레일유통,(87%)
236,히타치하이테크코리아,(6%)
237,비에이치씨,(22%)
238,뮬라,(108%)
239,제이씨현시스템,(33%)
240,농협하나로마트 ,(9999%)
241,메틀러토레도코리아,(24%)
242,아이씨뱅큐,(38%)
243,천일정기화물자동차,(16%)
244,파나소닉디바이스세일즈코리아,(15%)
245,한국애보트,(14%)
246,한국에머슨프로세스매니지먼트,(6%)
247,코리아이플랫폼,(30%)
248,투쿨포스쿨,(42%)
249,머크,(13%)
250,케이지케미칼,(18%)
251,뉴트리원,(25%)
252,선진로지스틱스,(34%)
253,디만트코리아,(39%)
254,서영이앤티,(48%)
255,버버리코리아,(46%)
256,퀴네앤드나겔,(23%)
257,더블유컨셉코리아,(15%)
258,한국일본통운,(15%)
259,자안그룹,(204%)
260,푸마코리아,(38%)
261,에스엔패션그룹,(71%)
262,롯데상사,(18%)
263,패션플러스,(61%)
264,그룹세브코리아,(29%)
265,로젠,(11%)
266,도루코,(15%)
267,포탈하이웨이,(37%)
268,한국무라타전자,(8%)
269,비기닝리테일,(61%)
270,피에르파브르더모코스메틱코리아 ,(38%)
271,디자인벤처스,(52%)
272,서울메트로,정보없음.
273,위본모터스,(48%)
274,전자랜드,(50%)
