,company_name,turn_over_rate
0,해커스 교육그룹,(95%)
1,동화세상에듀코,(17%)
2,에스티유니타스,(5%)
3,에듀윌,(58%)
4,메가스터디교육,(51%)
5,대교,(33%)
6,에듀플렉스 ,(17%)
7,이투스교육,(163%)
8,아발론교육,(89%)
9,한국산업인력공단,(14%)
10,한솔교육,(33%)
11,한국과학기술원,(51%)
12,파고다아카데미,(48%)
13,디와이비최선어학원,(69%)
14,에스제이더블유인터내셔널,(50%)
15,멀티캠퍼스,(16%)
16,메가엠디,(67%)
17,해커스어학원,(68%)
18,메가스터디,(25%)
19,조선대학교,(59%)
20,건국대학교,(33%)
21,케이지에듀원,(61%)
22,데이원컴퍼니,(68%)
23,인지어스,(56%)
24,연세대학교,(174%)
25,캐럿글로벌,(37%)
26,월스트리트인스티튜트코리아,(47%)
27,중앙대학교,(140%)
28,청담러닝,(67%)
29,와이비엠에듀,(46%)
30,한국표준협회,(20%)
31,와이비엠시사닷컴,(22%)
32,좋은책신사고,(48%)
33,아이지엠세계경영연구원,(24%)
34,디쉐어,(88%)
35,씨엠에스에듀,(100%)
36,경희사이버대학교,(173%)
37,챔프스터디,(61%)
38,정상제이엘에스,(31%)
39,계명대학교,(83%)
40,한솔요리학원,(88%)
41,한남대학교,(71%)
42,파고다에스씨에스,(41%)
43,인하대학교,(53%)
44,한국방송통신대학교,(9999%)
45,한국문화예술교육진흥원,(27%)
46,부경대학교,(9999%)
47,와이제이에듀케이션,(56%)
48,숭실대학교,(166%)
49,광주과학기술원,(54%)
50,디지털대성,(37%)
51,SBS아카데미게임학원,(9999%)
52,이디엠에듀케이션,(10%)
53,울산과학기술원,(48%)
54,포항공과대학교,(50%)
55,한국교육과정평가원,(27%)
56,티티씨에듀,(56%)
57,서울시립대학교,(53%)
58,동서대학교,(90%)
59,충남대학교,(38%)
60,지아이티아카데미,(31%)
61,서강대학교,(66%)
62,코리아폴리스쿨,(57%)
63,아이비김영,(426%)
64,씨앤씨미술교육지원센터,정보없음.
65,아토스터디,(46%)
66,계명대학교 산학협력단,(48%)
67,한양사이버대학교,(116%)
68,전북대학교,(9999%)
69,하이컨시,(30%)
70,국가평생교육진흥원,(22%)
71,이에프에듀케이션퍼스트코리아,(74%)
72,이코랜스,(114%)
73,잉글리쉬앤,(51%)
74,한국기술교육대학교,(63%)
75,더조은아카데미,(9%)
76,타임컨텐츠,(9999%)
77,인키움,(36%)
78,지식과미래,(184%)
79,지일이삼공교육,(17%)
80,티엠디교육그룹,(147%)
81,데이원컴퍼니 레모네이드,(69%)
82,이지수능교육,(34%)
83,현대경제연구원,(25%)
84,대교에듀캠프,(33%)
85,HIENGLISH KOREA,(9999%)
86,민병철교육그룹,(33%)
87,다락원,(18%)
88,인천영어마을,(9999%)
89,에듀라인,(67%)
90,링구아교육 링구아어학원,(78%)
