,company_name,turn_over_rate
0,베스핀글로벌,(46%)
1,한글과컴퓨터,(11%)
2,엔에이치엔커머스,(36%)
3,오픈타이드코리아,정보없음.
4,제이슨그룹,(39%)
5,펜타브리드,(46%)
6,써스포,(52%)
7,클래스101,(94%)
8,오토소프트,(28%)
9,테스트이앤씨,(28%)
10,코오롱베니트,(19%)
11,아이비케이시스템,(14%)
12,디지털다임,(34%)
13,네이버시스템,(33%)
14,이지서티,(57%)
15,푸드나무,(67%)
16,인크루트알바콜,(54%)
17,골프존,(20%)
18,폴라리스오피스,(20%)
19,메타넷글로벌,(67%)
20,드림어스컴퍼니,(20%)
21,아이패밀리에스씨,(45%)
22,블루버드,(32%)
23,메가존클라우드,(21%)
24,옐로오투오,(14%)
25,슈어소프트테크,(24%)
26,토마토시스템,(22%)
27,유빈스,(19%)
28,다날,(26%)
29,크래프톤,(18%)
30,카카오엔터테인먼트,(20%)
31,이지케어텍,(20%)
32,파수,(22%)
33,애드캡슐소프트,(30%)
34,코그,(28%)
35,케이지모빌리언스,(23%)
36,퓨렌스,(81%)
37,비바리퍼블리카,(30%)
38,코이스,(21%)
39,한국특허기술진흥원,(100%)
40,쌍용정보통신,(69%)
41,한국아이비엠테크니컬솔루션,(124%)
42,알서포트,정보없음.
43,한국마이크로소프트,(9%)
44,알티캐스트,(66%)
45,컴파트너스,(29%)
46,코난테크놀로지,(17%)
47,샌드박스네트워크,(71%)
48,연합뉴스,(13%)
49,가비아,(12%)
50,케이원정보통신,(38%)
51,더핑크퐁컴퍼니,(20%)
52,엠디에스테크,(25%)
53,엔디에스,(122%)
54,웅진,(22%)
55,지씨케어,(26%)
56,지어소프트,(44%)
57,다음커뮤니케이션,(13%)
58,인베니아,(39%)
59,아사달,(169%)
60,대보정보통신,(35%)
61,콤텍시스템,(18%)
62,와디즈,(26%)
63,비트컴퓨터,(23%)
64,디비아이엔씨,(16%)
65,조이시티,(18%)
66,페이레터,(16%)
67,현대엠엔소프트,(112%)
68,이모션글로벌,(36%)
69,대우정보시스템,(38%)
70,유비케어,(20%)
71,에임시스템,(24%)
72,틱톡,(9999%)
73,스마일게이트엔터테인먼트,(15%)
74,엔에이치엔케이씨피,(6%)
75,진학사,(85%)
76,위즈그룹,(67%)
77,가온아이,(48%)
78,게임빌,(28%)
79,그라비티,(18%)
80,에스코어,(38%)
81,나무커뮤니케이션,(31%)
82,케이씨씨정보통신,(32%)
83,위민,(111%)
84,이니텍,(77%)
85,키위컴퍼니,(57%)
86,아이헤이트플라잉버그스,(44%)
87,하이퍼커넥트,(44%)
88,웹케시,(22%)
89,이트라이브,(32%)
90,더화이트커뮤니케이션,(126%)
91,에스큐아이소프트,(25%)
92,지니,(36%)
93,바이널씨,(9999%)
94,디케이서비스,(10%)
95,모니터랩,(21%)
96,미디어윌네트웍스,(32%)
97,유비벨록스,(20%)
98,구글코리아,(60%)
99,소리바다,(28%)
