,company_name,turn_over_rate
0,얍컴퍼니,(153%)
1,엔키아,(17%)
2,케이지제로인,(28%)
3,트릿지,(65%)
4,씨에이에스,(9999%)
5,아이덴티티게임즈,(51%)
6,우리에프아이에스,(6%)
7,디비에프아이에스,(14%)
8,엑스엘게임즈,(15%)
9,이루온,(17%)
10,발란,(97%)
11,엔비티,(43%)
12,엘루오씨앤씨,(30%)
13,동양네트웍스,(36%)
14,슈어엠,(36%)
15,딜리,(38%)
16,버킷플레이스,(30%)
17,에이트원,(108%)
18,와일리,(33%)
19,브리지텍,(15%)
20,쇼엠,(94%)
21,케이에스넷,(15%)
22,리파인,(33%)
23,팍스넷,(25%)
24,라온피플,(50%)
25,마크애니,(27%)
26,위자드랩,(46%)
27,스터디맥스,(54%)
28,중외정보기술,(33%)
29,싸이버로지텍,(10%)
30,엠스텍,(31%)
31,여보야,(26%)
32,카카오스타일,(28%)
33,링네트,(29%)
34,인젠트,(24%)
35,투믹스,(14%)
36,네이버클라우드,(23%)
37,와이드모바일,(46%)
38,갤럭시아머니트리,(23%)
39,스테이션3,(38%)
40,중고나라,(53%)
41,비플라이소프트,(14%)
42,위세아이텍,(51%)
43,탑코,(41%)
44,핑거,(27%)
45,블리자드엔터테인먼트,(27%)
46,이씨플라자,(46%)
47,한국자산평가,(33%)
48,에스더블유엠,(34%)
49,오픈베이스,(15%)
50,카카오브이엑스,(21%)
51,노아에스앤씨,(262%)
52,아마존웹서비스,(15%)
53,쓰리아이,(55%)
54,씨케이앤비,(70%)
55,유비온,(35%)
56,티맥스데이터,(171%)
57,크리스피드,(19%)
58,아이템베이,(29%)
59,에스넷시스템,(27%)
60,와치텍,(16%)
61,디파이,(42%)
62,모비젠,(19%)
63,인벤,(160%)
64,시스게이트,(24%)
65,시큐브,(11%)
66,옐로모바일,정보없음.
67,에이케이아이에스,정보없음.
68,유라클,(35%)
69,케이웨더,(44%)
70,넷앤드,(29%)
71,누리플렉스,(30%)
72,앱코,(62%)
73,인성정보,(26%)
74,판도라티비,(36%)
75,플레이오토,(38%)
76,비스텔,(163%)
77,세종텔레콤,(14%)
78,인픽스,(30%)
79,인지소프트,(127%)
80,매드업,(55%)
81,플랜아이,(18%)
82,엠게임,(11%)
83,매경닷컴,(57%)
84,아이엠폼,(60%)
85,유디아이디,(36%)
86,메디컬아이피,(37%)
87,에릭슨엘지,(10%)
88,아이티센,(72%)
89,번개장터,(72%)
90,오파스넷,(30%)
91,토탈소프트뱅크,(20%)
92,교보정보통신,(12%)
93,소프트캠프,(19%)
94,한화에스앤씨,(4%)
95,네오플,(9%)
96,마이셀럽스,(94%)
97,위엠비,(28%)
98,유웨이어플라이,(23%)
99,메가넥스트,(58%)
100,그린웍스,(127%)
101,사이버다임,(28%)
102,이토마토,(40%)
103,델인터내셔널,(9999%)
104,트위니,(20%)
105,현대정보기술,(122%)
106,라이클,정보없음.
107,스마트스코어,(44%)
108,유호스트,(46%)
109,디케이아이테크놀로지,(25%)
110,와이디온라인,(171%)
111,뤼이드,(69%)
112,스포카,(32%)
113,콤텍정보통신,(114%)
114,쿠캣,(57%)
115,파인원홀딩스,(16%)
116,넷마블몬스터,(31%)
117,펜타시스템테크놀러지,(49%)
118,뱅크샐러드,(63%)
119,셀바스에이아이,(23%)
120,패스트뷰,(10%)
121,브레인즈컴퍼니,정보없음.
122,씨앤토트플러스,(20%)
123,대우루컴즈,(33%)
124,디케이비엠시,(26%)
125,이씨오,정보없음.
126,평화이즈,(23%)
127,위메이드플레이,(26%)
128,헬로인사,(27%)
129,아이디에스앤트러스트,(51%)
130,와이어트,(9999%)
131,누리미디어,정보없음.
132,삼양데이타시스템,(33%)
133,어드밴텍케이알,(33%)
134,엘지히다찌,(61%)
135,핸디소프트,(44%)
136,두산정보통신,(8%)
137,맵퍼스,(39%)
138,하나아이앤에스,(11%)
139,한국콩스버그마리타임,(12%)
140,대교씨엔에스,(18%)
141,밸로프,(55%)
142,트윔,(49%)
143,메타빌드,(24%)
144,유한책임회사앤서스랩코리아,(14%)
145,퓨즈,(21%)
146,티쿤글로벌,(93%)
147,교육지대,(70%)
148,비에스지파트너스,(27%)
149,어스얼라이언스,(42%)
150,에이블리코퍼레이션,(45%)
151,아이젝스,(27%)
152,와그,(56%)
153,와이즈버즈,(42%)
154,이포넷,(30%)
155,케이아이엔엑스,(13%)
156,에스지에이,(33%)
157,네이블커뮤니케이션즈,(19%)
158,산하정보기술,(13%)
159,에코시안,(35%)
160,한화컨버전스,(7%)
161,헥토이노베이션,(38%)
162,이음소시어스,(160%)
163,포인트모바일,(31%)
164,생각연구소,(81%)
165,컴트루테크놀로지,(31%)
166,크몽,(27%)
167,퀄슨,(115%)
168,퓨쳐시스템,(19%)
169,네티브,(31%)
170,엔셀,(45%)
171,비아이매트릭스,(22%)
172,인포바인,(14%)
173,파라메타,(34%)
174,포비즈코리아,(35%)
175,대아티아이,(28%)
176,메트릭스코퍼레이션,(55%)
177,액토즈소프트,(17%)
178,코스콤,(12%)
179,디유넷,(37%)
180,이지미디어,(25%)
181,다쏘시스템코리아,(12%)
182,코너크리에이티브,(55%)
183,코츠테크놀로지,(18%)
184,게임덱스,(10%)
185,다산네트웍솔루션즈,(12%)
186,루키스,(106%)
187,오케이포스,(27%)
188,유니파이,정보없음.
189,퓨처젠,(18%)
190,네이버아이앤에스,(31%)
191,다하미커뮤니케이션즈,(13%)
192,미리디,(38%)
193,삼보컴퓨터,(143%)
194,시티랩스,(51%)
195,디자인커뮤니케이션,(86%)
196,아지앙스코리아,(63%)
197,키즈룹,(317%)
198,텔코웨어,(9%)
199,리틀팍스,(40%)
200,소셜뉴스,(42%)
201,쓰리디팩토리,(64%)
202,에이디앤스타일,(28%)
203,유젠,(19%)
204,지란지교소프트,(200%)
205,월급날,(14%)
206,이랜드시스템스,(30%)
207,인버스,(35%)
208,드림인사이트,(36%)
209,씨아이솔루션,(53%)
210,아이에스에프넷코리아,(40%)
211,알엠소프트,(160%)
212,에이텍시스템,(32%)
213,재능이아카데미,(29%)
214,위지언,(46%)
215,잡플래닛,(33%)
216,티머니,(5%)
217,일렉트로닉아츠코리아,(24%)
218,동훈아이텍,(36%)
219,유니포인트,(47%)
220,윤디자인그룹,(62%)
221,아이엠씨게임즈,(29%)
222,아이크래프트,(47%)
223,오비고,(17%)
224,데이타솔루션,(16%)
225,에스에스알,(28%)
226,지티원,정보없음.
227,티아이스퀘어,(45%)
228,베스파,(327%)
229,스마트인피니,(41%)
230,이노트리,(51%)
231,포시에스,(26%)
232,하이브로,(80%)
233,오티아이,(30%)
234,필아이티,(33%)
235,두잇시스템,(16%)
236,씨티티디,(26%)
237,아비드이앤에프,(314%)
238,아이퀘스트,(12%)
239,티쓰리엔터테인먼트,(46%)
240,미소정보기술,(61%)
241,지오투정보기술,(59%)
242,네이버웹툰,(28%)
243,위두커뮤니케이션즈,(48%)
244,포켓몬코리아,(32%)
245,뉴스1,(11%)
246,다날엔터테인먼트,(36%)
247,다우데이타,(17%)
248,씨유기획,(56%)
249,아티언스,(47%)
250,집꾸미기,(219%)
251,헥토파이낸셜,(26%)
252,노츠,(33%)
253,한국후지쯔,(20%)
254,산업마케팅,(43%)
255,소리자바,(67%)
256,힙합퍼,(150%)
257,넛지헬스케어,(40%)
258,디에스글로벌,(179%)
259,이와이드플러스,(35%)
260,와이지플러스,(38%)
261,선도소프트,(121%)
262,케이엘넷,(25%)
