,company_name,turn_over_rate
0,삼성전자,(5%)
1,LG전자,(11%)
2,엘지디스플레이,(12%)
3,현대자동차,(11%)
4,엘지이노텍,(50%)
5,CJ제일제당,(20%)
6,한국전력공사,(6%)
7,LG화학,(156%)
8,에스케이하이닉스,(7%)
9,에이치디현대중공업,(2%)
10,삼성중공업,(8%)
11,아모레퍼시픽,(25%)
12,앰코테크놀로지코리아,(20%)
13,삼성에스디아이,(11%)
14,포스코홀딩스,(22%)
15,배스킨라빈스 ,(70%)
16,케이씨씨,(11%)
17,이랜드월드,(114%)
18,한화오션,(1%)
19,삼성전기,(10%)
20,현대모비스,(7%)
21,현대제철,(8%)
22,두산에너빌리티,(9%)
23,엘지생활건강,(8%)
24,기아,(8%)
25,한국수력원자력,(11%)
26,스태츠칩팩코리아,(31%)
27,바디프랜드,(42%)
28,와이지-원,(30%)
29,유라코퍼레이션,(47%)
30,삼성디스플레이,(6%)
31,동원에프앤비,(17%)
32,LF,(38%)
33,코리아써키트,(35%)
34,삼성엔지니어링,(12%)
35,한국콜마,(16%)
36,세아상역,(37%)
37,해태제과식품,(20%)
38,오뚜기,(11%)
39,캐논코리아,(23%)
40,한솔섬유,(120%)
41,에이치디현대인프라코어,(6%)
42,에스엘,(67%)
43,한국수자원공사,(15%)
44,한국후지필름비즈니스이노베이션,(18%)
45,코스맥스,(19%)
46,르노코리아자동차,(26%)
47,샘표식품,(36%)
48,대상,(20%)
49,롯데웰푸드,(8%)
50,한세실업,(42%)
51,일진글로벌홀딩스,(28%)
52,효성,(26%)
53,금호타이어,(23%)
54,유니셈,(35%)
55,에스케이실트론,(11%)
56,에이블씨엔씨,(29%)
57,크린팩토메이션,(24%)
58,파리크라상,(47%)
59,한국항공우주산업,(9%)
60,한국에스지에스,(15%)
61,엘엑스하우시스,(11%)
62,미미박스,(55%)
63,모베이스전자,(15%)
64,롯데칠성음료,(14%)
65,한화,(122%)
66,오비맥주,(21%)
67,현대트랜시스,(9%)
68,한국단자공업,(19%)
69,동진쎄미켐,(21%)
70,네패스,(37%)
71,만도,(17%)
72,동우화인켐,(5%)
73,테크윙,(15%)
74,남양유업,(22%)
75,도쿄일렉트론코리아,(7%)
76,한국지엠,(9%)
77,영풍전자,(53%)
78,대덕전자,(27%)
79,코오롱인더스트리,(15%)
