,company_name,turn_over_rate
0,한미약품,(16%)
1,대웅제약,(20%)
2,오스템임플란트,(26%)
3,종근당,(15%)
4,삼성바이오로직스,(13%)
5,녹십자,(28%)
6,제일약품,(22%)
7,한국유나이티드제약,(14%)
8,국립암센터,(31%)
9,셀트리온,(15%)
10,서울대학교병원,(51%)
11,에이치케이이노엔,(18%)
12,덴티움,(30%)
13,JW중외제약,(24%)
14,보령,(146%)
15,일동제약,(31%)
16,씨젠,(33%)
17,신흥,(33%)
18,셀트리온제약,(30%)
19,분당서울대학교병원,(167%)
20,대원제약,(15%)
21,일양약품,(16%)
22,한독,(17%)
23,휴온스,(25%)
24,동국제약,(24%)
25,마크로젠,(20%)
26,한국장애인고용공단,(18%)
27,바이오니아,(26%)
28,에스티팜,(12%)
29,아이센스,(25%)
30,광동제약,(14%)
31,동아에스티,(109%)
32,한국의학연구소,(111%)
33,휴젤,(20%)
34,한국애보트진단,(33%)
35,유한양행,(8%)
36,바이넥스,(19%)
37,환인제약,(31%)
38,한림제약,(18%)
39,써모피셔사이언티픽코리아,(18%)
40,안국약품,(43%)
41,신풍제약,(15%)
42,유니메드제약,(29%)
43,와이에스생명과학,(135%)
44,한스바이오메드,(36%)
45,케어젠,(57%)
46,메디톡스,(17%)
47,푸르니보육지원재단,(18%)
48,한국건강관리협회,(22%)
49,네오바이오텍,(32%)
50,오상헬스케어,(32%)
51,경동제약,(57%)
52,경보제약,(13%)
53,에스디바이오센서,(25%)
54,이연제약,(13%)
55,제노스,(67%)
56,사회복지법인월드비전,(24%)
57,코오롱생명과학,(19%)
58,서흥,(18%)
59,에이프로젠바이오로직스,(26%)
60,유영제약,(33%)
61,대한적십자사,(46%)
62,하이로닉,정보없음.
63,프레스티지바이오로직스,(32%)
64,동아제약,(14%)
65,건일제약,(36%)
66,동성제약,(32%)
67,진양제약,(27%)
68,부광약품,(18%)
69,충남대학교병원,(81%)
70,명인제약,(10%)
71,알피바이오,(49%)
72,바이엘코리아,(23%)
73,유한화학,(12%)
74,일성신약,(39%)
75,시지바이오,(44%)
76,하나제약,(20%)
77,삼광의료재단,(35%)
78,자생한방병원,(9999%)
79,종근당바이오,(15%)
80,경북대학교병원,(121%)
81,동화약품,(9%)
82,제이더블유신약,(24%)
83,비씨월드제약,(22%)
84,사회복지법인 밀알복지재단,(88%)
85,삼아제약,(17%)
86,영진약품,(26%)
87,유유제약,(34%)
88,고려제약,(19%)
89,부산대학교병원,(101%)
90,펜믹스,(31%)
91,경희의료원,(140%)
92,삼천당제약,(25%)
93,메드트로닉코리아,(16%)
94,중앙대학교병원,(73%)
95,드림씨아이에스,(19%)
96,현대약품,(57%)
97,녹십자셀,(28%)
98,로킷헬스케어,(15%)
99,삼일제약,(18%)
100,경남제약,(26%)
101,대한산업보건협회,(28%)
102,태준제약,(18%)
103,휴마시스,(85%)
104,사이넥스,(32%)
105,한국얀센,(24%)
106,글락소스미스클라인,(17%)
107,연세의료원,(9999%)
108,유바이오로직스,(65%)
109,대한뉴팜,(13%)
110,세이브더칠드런코리아,(23%)
111,디알텍,(63%)
112,한미정밀화학,(13%)
113,이원의료재단,(204%)
114,실로암시각장애인복지관,(58%)
115,삼진제약,(10%)
116,국립중앙의료원,(24%)
117,아산제약,(18%)
118,제넥신,(34%)
119,한국프라임제약,(20%)
120,CMG제약,(36%)
121,에스엘에스바이오,(78%)
122,녹십자의료재단,(18%)
123,메드파크,(74%)
124,아주약품,(25%)
125,알보젠코리아,(11%)
126,콜마비앤에이치푸디팜사업부문,(21%)
127,메디포스트,(26%)
128,에스텍파마,(23%)
129,승가원,(18%)
130,충북대학교병원,(144%)
131,파마리서치,(20%)
132,대웅바이오,(20%)
133,서울특별시보라매병원,(9999%)
134,한국유니온제약,(30%)
135,조아제약,(15%)
136,오리엔트바이오,(36%)
137,국제약품,(42%)
138,서울특별시서울의료원,(25%)
139,메타바이오메드,(19%)
140,전남대학교병원,(71%)
141,한화제약,(21%)
142,차바이오텍,(48%)
143,이수앱지스,(19%)
144,대정화금,(25%)
145,한국백신,(19%)
146,바이오넷,(8%)
147,서울제약,(23%)
148,보령바이오파마,(29%)
149,다림바이오텍,(29%)
150,얀센백신,(18%)
151,쎌바이오텍,(17%)
152,신신제약,(18%)
153,코스모진텍,(37%)
154,에스케이바이오랜드,(16%)
155,제이더블유생명과학,(9%)
156,전북대학교병원,(98%)
157,콜마파마,(124%)
158,경상대학교병원,(100%)
159,한국코러스,(54%)
160,이니스트에스티,(23%)
161,래피젠,(68%)
162,인트론바이오테크놀로지,(20%)
163,한국오츠카제약,(11%)
164,강원대학교병원,(68%)
165,알바이오,(25%)
166,의료법인인성의료재단 한림병원,(28%)
167,바디텍메드,(19%)
168,테고사이언스,(32%)
169,셀리버리,(135%)
170,오산한국병원,(9999%)
171,메디트,(21%)
172,에스트라,(121%)
173,바이오노트,(16%)
174,구주제약,(32%)
175,녹십자웰빙,(18%)
176,다산제약,(57%)
177,한국비엔씨,(120%)
178,애니젠,(34%)
179,코오롱제약,(45%)
180,비보존제약,(45%)
181,제뉴원사이언스,(18%)
182,엔티엘의료재단,(48%)
