,company_name,turn_over_rate
0,에스씨케이컴퍼니,(45%)
1,한국맥도날드,(23%)
2,롯데리아 ,(102%)
3,트랜스코스모스코리아,(92%)
4,유베이스,(89%)
5,하나투어,(20%)
6,세스코,(19%)
7,에스텍시스템,(52%)
8,아워홈,(46%)
9,에스케이쉴더스,(15%)
10,유니에스,(28%)
11,커피빈코리아,(96%)
12,씨제이푸드빌,(218%)
13,호텔신라,(34%)
14,빕스,(218%)
15,비케이알,(223%)
16,에스원,(33%)
17,삼구아이앤씨,(71%)
18,아웃백스테이크하우스코리아,(168%)
19,메타넷엠플랫폼,(79%)
20,코웨이,(11%)
21,이트너스,(47%)
22,던킨/던킨도너츠,(9999%)
23,뚜레쥬르,(218%)
24,더케이텍,(9999%)
25,제니엘,(26%)
26,한국마사회,(21%)
27,한화호텔앤드리조트,(33%)
28,케이에이,(67%)
29,맨파워코리아,(77%)
30,신세계푸드,(50%)
31,에이디티캡스,(82%)
32,그린웹서비스,(15%)
33,한국전기안전공사,(8%)
34,엠피씨플러스,(71%)
35,삼성웰스토리,(15%)
36,노랑풍선,(41%)
37,휴먼티에스에스,(26%)
38,모두투어네트워크,(18%)
39,세일즈웍스 코리아,(106%)
40,케이에프씨코리아,(63%)
41,프로에스콤,(58%)
42,스탭스,(75%)
43,AJ네트웍스,(20%)
44,공차코리아,(162%)
45,한국피자헛,(146%)
46,이랜드파크,(33%)
47,조선호텔앤리조트,(43%)
48,그랜드코리아레저,(16%)
49,에스피씨그룹,(9999%)
50,한국농어촌공사,(9999%)
51,키스템프,(1450%)
52,참좋은여행,(34%)
53,서비스에이스,(29%)
54,서비스탑,(45%)
55,키자니아,(160%)
56,티지아이프라이데이스,(102%)
57,삼성전자서비스,(17%)
58,호텔롯데,(22%)
59,윌앤비전,(92%)
60,맥서브,(71%)
61,한국고용정보,(88%)
62,대명레저산업,(91%)
63,쏘카,(23%)
64,레드캡투어,(22%)
65,한솥,(95%)
66,약손명가,(45%)
67,본아이에프,(24%)
68,디앤오,(184%)
69,내일투어,(66%)
70,에프아이티아이시험연구원,(21%)
71,국립공원공단,(12%)
72,엔에이치엔여행박사,(33%)
73,롯데관광개발,(977%)
74,해비치호텔앤드리조트,(59%)
75,코엑스,(17%)
76,인컴즈,(29%)
77,씨에스원파트너,(141%)
78,케이티텔레캅,(30%)
79,포스코와이드,(8%)
80,핏펫,(167%)
81,서울랜드,(54%)
82,코레일관광개발,(25%)
83,하이엠솔루텍,(10%)
84,요거프레소,(85%)
85,발렉스서비스,(60%)
86,강원랜드,(42%)
87,디티앤씨,(24%)
88,지씨셀,(24%)
89,아데코코리아,(99%)
90,나이스디앤비,(41%)
91,씨제이텔레닉스,(28%)
92,인크루트,(56%)
93,커리어케어,(37%)
94,엘비휴넷,(148%)
95,바이오톡스텍,(33%)
96,킨텍스,(31%)
97,법무법인율촌,(9999%)
98,한국평가데이터,(34%)
99,쥬비스,(49%)
100,제이더블유메리어트호텔,(64%)
101,후니드,(56%)
102,아이비에스인더스트리,(93%)
103,타이드스퀘어,(35%)
104,더메인즈,(86%)
105,인터비즈시스템,(89%)
106,파르나스호텔,(24%)
107,인터파크투어,정보없음.
108,온라인투어,정보없음.
109,아이니웨딩네트웍스,(19%)
110,커뮤니크,(46%)
111,부킹닷컴코리아,(100%)
112,엠제이플렉스,(67%)
