,company_name,adv_topic_0,adv_topic_1,adv_topic_2,adv_topic_3,adv_topic_4,adv_topic_5,dadv_topic_0,dadv_topic_1,dadv_topic_2,dadv_topic_3,dadv_topic_4,dadv_topic_5,dadv_topic_6,average_salary,total_sale,turn_over_rate
0,국민건강보험공단,0.9782537221908568,0.0,0.0101904878392815,0.0,0.0,0.0,0.0,0.0736912041902542,0.0,0.0135418204590678,0.0,0.912489891052246,0.0,6441,75400.0,0.2
1,근로복지공단,0.7119975090026855,0.0,0.0,0.2429699003696441,0.0446432568132877,0.0,0.0,0.2244510352611541,0.0,0.0,0.0,0.7751399278640747,0.0,5817,9406.2,0.13
2,농협은행,0.5449245572090149,0.0,0.1900501847267151,0.0,0.2641797959804535,0.0,0.0841821059584617,0.229913130402565,0.0227778404951095,0.0213795788586139,0.0,0.6317372918128967,0.0,6182,13100.0,0.15
3,현대카드,0.1565978527069091,0.1236522495746612,0.0,0.2942779660224914,0.0,0.4207473993301391,0.0,0.5142049193382263,0.3564521670341491,0.0,0.0973743721842765,0.0,0.0293072294443845,8737,2300.0,0.35
4,중소기업은행,0.8226898312568665,0.0,0.1764627546072006,0.0,0.0,0.0,0.0,0.2588417530059814,0.0,0.0,0.0718888267874717,0.6568909883499146,0.0,10065,14800.0,0.16
5,국민연금공단,0.9344757795333862,0.0,0.0,0.0,0.0497341565787792,0.0152424406260252,0.0,0.0499000251293182,0.0,0.0482968054711818,0.0,0.8925457000732422,0.0,6345,29900.0,0.1
6,현대캐피탈,0.2399324476718902,0.1914898753166198,0.0,0.2127755731344223,0.1038925796747207,0.2516075074672699,0.0,0.7655656933784485,0.2301281243562698,0.0,0.0,0.0,0.0,10926,3000.0,0.2
7,국민은행,0.5511687994003296,0.0,0.2048947811126709,0.1851963400840759,0.0583377853035926,0.0,0.0,0.1442161947488784,0.042275670915842,0.0,0.1893457621335983,0.6234989762306213,0.0,11355,21200.0,0.23
8,삼성생명보험,0.1023361459374427,0.0,0.0428358688950538,0.7676063179969788,0.0785155519843101,0.0,0.0,0.0708702504634857,0.0125541007146239,0.0,0.4076919853687286,0.5039324760437012,0.0,11975,27100.0,0.07
9,신한은행,0.5134843587875366,0.0,0.1814787685871124,0.2744441330432892,0.0300871152430772,0.0,0.0628808960318565,0.0200278740376234,0.2136438488960266,0.0,0.0550888590514659,0.647977888584137,0.0,11276,21900.0,0.1
10,우리은행,0.5853942036628723,0.0,0.3072513043880462,0.0,0.1061394214630127,0.0,0.0322195887565612,0.0849035009741783,0.0649677515029907,0.0,0.2178493589162826,0.5995615720748901,0.0,10406,20400.0,0.09
11,신용보증기금,0.6136326193809509,0.0,0.1323920935392379,0.2526490986347198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9978905916213988,0.0,9488,1100.0,0.25
12,한화생명보험,0.3032506704330444,0.0,0.1680428981781005,0.4111419916152954,0.0561221539974212,0.0610393360257148,0.0289345048367977,0.1148925647139549,0.2896563112735748,0.1097554787993431,0.3896401226520538,0.066865749657154,0.0,9292,16100.000000000002,0.15
13,한국스탠다드차타드은행,0.6118316054344177,0.0338157601654529,0.1841101497411728,0.1692733019590377,0.0,0.0,0.0738016813993454,0.4769512414932251,0.1720845401287078,0.1318903416395187,0.0627152770757675,0.0821793004870414,0.0,9961,2700.0,0.08
14,하나은행,0.5959022641181946,0.0,0.1304941773414611,0.178455501794815,0.0940175876021385,0.0,0.0,0.2380927205085754,0.0652221366763114,0.0,0.0686663314700126,0.6267485022544861,0.0,11856,29200.0,0.1
15,삼성화재해상보험,0.0760742649435997,0.0751173421740531,0.1007315814495086,0.4911258220672607,0.2563587725162506,0.0,0.109348677098751,0.0523585602641105,0.0702753663063049,0.0,0.6076114773750305,0.159549281001091,0.0,13656,22600.0,0.08
16,웰컴저축은행,0.0293968152254819,0.2354631274938583,0.0396668501198291,0.2863648533821106,0.1408749371767044,0.2682333886623382,0.2708555459976196,0.0356590300798416,0.0723096504807472,0.0,0.1765899509191513,0.2756668329238891,0.160192459821701,5645,3957.1,0.26
17,메리츠화재해상보험,0.0,0.0,0.1424247175455093,0.630134105682373,0.2196691781282425,0.0,0.0,0.261722981929779,0.2648498713970184,0.0,0.0,0.3090620338916778,0.1563584208488464,8562,10100.0,0.25
18,교보생명보험,0.5613811612129211,0.0878081321716308,0.0648007988929748,0.0699915066361427,0.1541393846273422,0.0618790127336978,0.2867004871368408,0.1572784185409546,0.0163260027766227,0.0296841412782669,0.2856538891792297,0.2240878194570541,0.0,10001,13000.0,0.08
19,롯데카드,0.1433814018964767,0.0,0.1843041628599167,0.0752941220998764,0.3205133974552154,0.2759668827056885,0.0296563152223825,0.4372241795063019,0.18616683781147,0.0,0.3370468020439148,0.0,0.0,8325,1500.0,0.16
20,한국투자증권,0.1595580130815506,0.2155531197786331,0.2154617011547088,0.4012022316455841,0.0,0.0,0.3884752690792084,0.208718329668045,0.1488468050956726,0.0,0.2024044841527938,0.0509764850139617,0.0,16010,9900.0,0.15
21,한국산업은행,0.7947218418121338,0.0,0.0,0.2038671672344207,0.0,0.0,0.0,0.0,0.0,0.0,0.1741986870765686,0.8245474696159363,0.0,10264,24700.0,0.16
22,삼성카드,0.3405022323131561,0.0,0.0899207219481468,0.5664984583854675,0.0,0.0,0.0,0.2042204439640045,0.4161238670349121,0.0,0.18341626226902,0.1892110258340835,0.0,14080,3200.0,0.13
